Label,Entity Text,ID
LIT,金匮要略浅注,1
作者,陈修园,2
朝代,汉,3
年份,公元1644-1911年,4
篇名,叙言,5
人物,坡公,6
人物,沈存中,7
地名,吴航,8
人物,陈修园先生,9
医学术语,岐黄术,10
官职,名孝廉,11
官职,宰畿辅,12
称谓,先大夫,13
组织,真率会,14
人物,王叔和,16
LIT,内经,17
人名,灵石,18
VIS,肝,19
VIS,脾,20
MED,实脾,21
BEC,四季脾王,22
DIS,脏病,23
CON,虚,24
CON,实,25
BEC,脏邪,26
DIS,肝之病,27
DIS,肝虚,30
MED,酸,31
LIT,木生酸,32
LIT,酸生肝,33
BEC,助,34
CON,阳,35
MED,焦热之药,36
VIS,心,37
BEC,气感于肝,38
CON,阴,39
MED,苦,40
MED,苦寒之药,41
VIS,心液,42
BEC,君火,43
BEC,益,44
MED,甘味之药,45
LIT,稼穑作甘,46
BEC,培土升木,47
PRE,乌梅丸,48
SIG,酸入肝,49
SIG,焦苦入心,50
SIG,甘入脾,51
VIS,肾,53
BEC,肾气微弱,54
BEC,水不行,55
BEC,心火气盛,56
VIS,肺,57
DIS,肺被伤,58
BEC,金气不行,59
BEC,肝气盛,60
DIS,肝自愈,61
SYN,治肝补脾,62
SYN,肝虚,63
MED,酸甘焦苦之药,64
SYN,肝实,65
SIG,无虚虚,66
SIG,无实实,67
SIG,补不足,68
SIG,损有余,69
VIS,余脏,70
CON,实者,71
VIS,未病之脏,72
CON,虚者,73
VIS,本脏,74
BEC,五行,75
SYN,肝阴脏,77
BEC,心包之火,78
BEC,少阳之气,79
SYM,燥,80
SYM,暖,81
MED,焦苦,84
BEC,火,86
BEC,液,87
BEC,阳,88
BEC,阴,89
SYM,肝苦急,90
MED,甘味,91
CON,肝虚,94
LIT,仲师,96
LIT,虚虚实实,97
LIT,补不足,98
LIT,损有余,99
VIS,胆,101
BEC,胆火,102
LIT,金匮,104
BEC,肝传脾,107
SYN,厥阴,109
BEC,巽木,110
SYN,太阴,112
BEC,坤土,113
SYM,消渴,116
SYM,气上撞心,117
SYM,心中疼热,118
SYM,饥而不欲食,119
SIG,食则吐蛔,120
SIG,下之利不止,121
SYM,便血,122
SIG,吐脓,123
SIG,烦呕,124
SYM,厥热,125
BEC,降逆止利,127
BEC,顺接阴阳法,128
BEC,破阴行阳,129
BEC,传转法,130
BEC,调肝实脾,131
BEC,体用,132
MED,乌梅,133
TNG,酸平,134
MED,当归,136
TNG,苦温,137
BEC,气血调,139
MED,人参,140
SIG,甘寒,141
BEC,益脾中之阴,142
MED,干姜,143
SIG,苦温,144
BEC,补脾中之阳,145
BEC,阴阳和,146
SYN,脾健,147
DIS,邪不能侵,148
MED,黄连,149
MED,黄柏,150
SIG,苦寒,151
BEC,入心降火,152
