Label,Entity Text,ID
DIS,带状疱疹,1
DIS,急性阑尾炎,2
DIS,脑震荡,3
DIS,脑挫伤,4
DIS,恶性肿瘤,5
DIS,中风后遗症,6
DIS,面神经瘫痪,7
DIS,肺结核,8
DIS,精神分裂症,9
DIS,心房纤颤,10
DIS,甲状腺功能亢进,11
DIS,过敏性皮炎,12
DIS,哮喘,13
BDP,杏林苑,14
LIT,《三十年临证探研录》,15
DIS,外感风热,16
SYM,发热,17
SYM,神昧,18
BEC,风热挟痰,19
BEC,劫伤津液,20
PRE,加减萎蕤汤,21
DIS,惊恐重症,22
TNG,补养,23
BEC,镇肝熄风法,25
DIS,小儿肺炎,26
BEC,清肠泄热,27
BEC,养心宁神,29
MED,代赭石,30
MED,红藤,32
DIS,急慢性阑尾炎,33
MED,霜桑叶,34
DIS,结膜炎,35
DIS,中风偏瘫,36
PRE,偏枯健全汤,37
PRE,圣愈正容汤,39
DIS,精神分裂,40
PRE,镇肝涤痰汤,41
DIS,老慢支,42
PRE,百合畅肺饮,43
LIT,孟城,44
TNG,整体均衡疗法,45
CON,孟城,46
DIS,疑难杂病,47
TNG,整体均衡治疗,48
SYM,脘痛,49
SIG,呕血,50
MED,人参粉,51
BDP,血,52
DIS,老年痴呆,54
BDP,余外祖母,55
BDP,盂城,56
BDP,吴竺天先生,57
BDP,姜春华教授,58
BDP,杨永璇先生,59
LIT,临证须辨疑似,60
LIT,《临证指南》,61
SYN,识证,62
BDP,四诊,63
CON,八纲,64
VIS,脏腑,65
BEC,病因,66
BEC,病机,67
BEC,阴盛之极,68
BEC,格阳于外,69
SYM,面红目赤,70
SYM,唇破舌裂,71
SYM,扬手掷足,72
SYM,语言错妄,73
SYN,火热之象,74
DIS,阳汪,75
BEC,内真寒,76
BEC,外现假热,77
BEC,阳热之极,78
BEC,格阴,79
SYM,四肢发厥,80
BEC,热深厥亦深,81
SYM,僵卧如尸,82
SIG,不饮不食,83
SIG,口鼻无气,84
SYM,手足逆冷,85
SYN,阴寒之象,86
SYN,阴证,87
BEC,内真热,88
BEC,外现假寒,89
DIS,癌症患者,90
SYM,肢体懈惰,91
SYM,眩晕眼花,92
SYM,纳呆神疲,93
SYN,虚证,94
BEC,劳伤中气,95
SYM,脘腹胀满,96
SYM,食则不舒,97
BEC,气机壅滞,98
SIG,大便欠利,99
SYN,实证,100
LIT,李士材,101
LIT,诸凡疑似之症，不可更仆数,102
LIT,林珮琴,103
LIT,《类证治裁》,104
LIT,司命之难也在识证，识证之难也在辨证,105
LIT,一症，错综疑似,106
BEC,抉别真伪、辨析疑似,107
SYM,主症,109
PUL,脉象,110
TNG,舌象,111
SYM,主症特点,112
BDP,望闻问切,113
BDP,四诊素材,114
SYN,证候,116
SIG,四诊,117
BDP,男子,120
CON,年方半百开外,121
