Label,Entity Text,ID
LIT,明医杂着,1
DIS,王纶,2
DIS,明,3
DIS,公元1502年-1549年,4
DIS,鄞人王节斋,5
DIS,苏立斋薛翁,6
LIT,刘、张医学,7
DIS,葛应雷,8
DIS,王安道,9
DIS,赵良仁,10
LIT,《会同》,11
LIT,《医韵》,12
LIT,《药要》,13
DIS,玄妙医派,14
DIS,立斋,15
DIS,孝庙,16
DIS,今上三朝,17
DIS,南北两太医院,18
PRE,中秘奇方,19
DIS,寰海名士,20
DIS,肩疽,21
SYM,痰喘,22
PRE,补肾,23
PRE,补脾,24
LIT,《明医杂着》,25
SIG,视色望气,26
PUL,察见脉理,27
BDP,东圩公,28
CON,八十又二,29
SYM,发热,31
LIT,《医学纲目》,32
LIT,滑伯仁先生《诊家枢要》,33
LIT,仲景,34
LIT,东垣,35
LIT,河间,36
LIT,丹溪,37
LIT,《内经》,38
LIT,四子,39
LIT,六经,40
LIT,《学》、《庸》、《语》、《孟》,41
DIS,伤寒,42
BEC,变迁反复,43
PRE,着论立方,45
DIS,温暑,46
DIS,内伤,47
PRE,治温暑之法,49
PRE,治内伤之法,51
BEC,五运六气,52
FOO,饮食,53
BEC,劳倦,54
CON,丹溪,55
CON,阴虚发热,56
DIS,外感,57
BEC,湿热相火,59
CON,东垣,61
CON,河间,62
LIT,处方药品多少论,64
CON,韩信,72
VIS,四时五脏之根,73
DIS,心病,74
VIS,肝,75
VIS,肾,76
DIS,心脏得病,77
BEC,肾者心之鬼,78
BEC,肝气通,79
SYM,心气和,80
BEC,肝气滞,81
SYM,心气乏,82
DIS,五脏受病,83
BEC,水能胜火,84
BEC,肾之受邪,85
DIS,传于心,86
PRE,退肾邪,87
PRE,益肝气,88
SYN,肝肾两脏俱和,89
DIS,心自主疾,90
SYN,察其心家虚实,91
LIT,《玉机微义・小儿部》,92
BDP,东南,93
BDP,西北,94
MED,寒药,95
MED,温药,96
FOO,胡椒,97
FOO,姜,98
FOO,桂,99
FOO,椒,100
BEC,湿,102
BEC,燥,103
FOO,辛热之物,106
CON,阳气内虚,107
SYM,腠理疏通,108
SYM,汗液妄泄,109
CON,阳气虚寒,110
DIS,疫疠流行,111
PRE,圣散子,112
BEC,地卑湿,113
BEC,四时郁热,114
DIS,西北疫疠,117
LIT,异法方宜论,118
SYN,气血痰郁,120
PRE,四君子汤,121
PRE,四物汤,122
PRE,二陈汤,123
BEC,久病属郁,124
PRE,越鞠丸,125
DIS,气、血、痰三病,126
BEC,郁,127
BEC,郁久而生病,128
BEC,病久而生郁,129
BEC,误药杂乱而成郁,130
PRE,四君子,131
MED,开郁药,132
PRE,四法,133
MED,参,134
MED, ,135
CON,气虚,136
CON,血虚,137
CON,气血俱虚,138
VIS,脾胃,139
DIS,气血,140
BEC,阳气虚弱,141
VIS,阴血,142
PRE,六君子汤,143
PRE,前汤,146
MED,炮姜,147
BEC,胃土燥热,148
BEC,脾胃虚寒,151
PRE,八味丸,153
VIS,五脏,154
BEC,劳役,155
SIG,食少,156
SYM,胸痞,157
SYM,头痛,159
SIG,吐痰,160
SYM,作渴,161
PUL,脉浮大,162
CON,脾胃气虚,163
DIS,血病,164
PRE,二陈,165
PRE,四物,166
MED,黄柏,167
MED,知母,168
SYM,腹痛,169
SIG,作呕,170
PUL,脉洪数而无伦次,171
SYM,痛,174
SIG,呕,175
PRE,补中益气汤,176
BEC,勤苦,177
BEC,饮食失节,178
SIG,大便下血,179
TNG,赤,180
TNG,黯,181
SIG,便血,182
SYM,盗汗,183
SYM,恶寒,184
PUL,六脉浮大,186
VIS,心脾,187
PUL,涩,188
BEC,思伤心脾,189
BEC,不能摄血归源,190
BEC,血即汗,191
BEC,汗即血,192
BEC,火之升降微,193
PRE,牛黄抱龙丸,194
SYM,风痰壅盛,195
SYM,咳嗽发热,196
SYM,发惊搐,197
MED,牛黄,198
MED,雄黄,199
MED,辰砂,200
MED,天竺黄,201
MED,麝香,202
MED,牛胆南星,203
MED,甘草,204
FOO,姜汤,205
PRE,柴芍参苓散,206
DIS,脾胃不和,207
SIG,饮食少进,208
SIG,呕吐,209
SIG,泄泻,210
MED,柴胡,211
MED,芍药,212
MED,人参,213
MED,白术,214
MED,茯苓,215
MED,陈皮,216
MED,当归,217
MED,丹皮,219
MED,山栀,220
FOO,白汤,221
PRE,五味子汤,222
SYM,咳嗽,223
SYM,皮肤干燥,224
SYM,唾中有血,225
BDP,胸膈疼痛,226
MED,五味子,227
MED,桔梗,228
MED,紫菀,229
MED,续断,231
MED,竹茹,232
MED,赤小豆,233
MED,生地黄,234
MED,桑白皮,235
PRE,人参平肺散,236
BEC,心火克肺,237
SIG,喘呕,239
SYM,痰涎壅盛,240
BDP,胸膈痞满,241
VIS,肺,243
SYM,小便数而不禁,244
SYM,怔忡,245
SYM,多忘,246
SYM,魇梦不已,247
SYM,遗尿,248
SYM,精滑,249
SYM,阳虚精漏不止,250
CON,肾气虚寒,251
SYM,脾泄,252
SYM,肾泄,253
MED,附子,254
PRE,生,255
MED,干姜,256
MED,赤石脂,257
PRE,姜附赤石脂朱砂丹,258
PRE,酒糊丸,259
PRE,茯苓汤,260
CON,心肾俱虚,261
SYM,神志不守,262
SYM,小便淋沥不禁,263
SYM,或赤,264
SYM,或浊,265
SYM,或不利,266
PRE,茯苓丸,267
MED,赤茯苓,268
MED,白茯苓,269
MED,熟地黄,270
FOO,好酒,271
FOO,盐酒,272
PRE,人参救肺散,273
SYM,咳血,274
SYM,吐血,275
BDP,空心,276
FOO,小麦汤,277
MED,升麻,278
MED,当归尾,280
MED,白芍药,282
MED,苏木,283
MED,黄,284
MED,苍术,287
PRE,麦门冬饮子,289
DIS,久不愈,291
CON,肺气虚,292
SYM,短气不足以息,293
DIS,胎漏,294
SIG,血大崩,295
SYM,晕,296
FOO,童便,297
MED,荆芥,298
PRE,止血止晕之药,299
FOO,药汁,301
BDP,胸膈,302
BDP,手,303
SIG,吐出,304
FOO,米饭,305
FOO,齑菜,306
FOO,午饭,307
BEC,着恼,308
SIG,崩,309
BEC,胃气不行,310
SIG,血既大崩,311
BEC,胃气益虚,312
BEC,不能运化,313
SYM,服药而无效,314
BEC,调理脾胃,315
FOO,五钱,317
FOO,二钱,319
MED,麦芽,320
SYM,崩,323
BEC,理脾胃,324
VIS,胃气,325
MED,血药,326
BEC,食滞,327
DIS,血崩,328
DIS,血晕,329
FOO,五谷,331
FOO,精液,332
FOO,清者,333
VIS,荣,334
FOO,浊者,335
VIS,胃,336
CON,阴阳,337
LIT,橐,338
BDP,阳,339
BDP,四肢,340
BDP,阴,341
VIS,土,343
FOO,四时,344
FOO,万物,345
BDP,百骸,346
BDP,身,347
BEC,饮食自伤,349
BEC,医多妄下,350
BEC,清气下陷,351
BEC,浊气不降,352
SIG,胀,353
VIS,胃脘之阳,354
VIS,中焦,355
PRE,补中益气,356
FOO,浊气,357
BEC,饱食,358
DIS,崩,359
VIS,脾气,360
CON,相火,362
BEC,湿热,363
PRE,甘温之剂,364
MED,寒凉,366
BEC,血无所羁,368
CON,脾胃虚弱,369
SYM,不能摄血,370
VIS,调补脾气,371
DIS,崩漏,372
SYM,面黄,373
SYM,腹间脐下痛,375
SYM,四肢困倦,376
SYM,烦热不安,377
SYM,经行先发寒热,378
SYM,两肋如束,379
BEC,脾胃亏损,380
BEC,元气下陷,381
BEC,相火湿热下迫,382
MED,防风,384
MED,炒黑黄柏,386
PRE,归脾汤,387
DIS,产后发热,388
CON,阴血虚,389
BEC,阳无所根据,390
BEC,浮散于外,391
MED,炙干姜,393
SIG,收其浮散,394
CON,脾胃虚,395
BEC,过于饮食伤滞,396
SYM,胸膈饱闷,397
SIG,嗳气,398
SYM,恶食,399
SIG,饮食自调,401
PRE,补血正法,402
ACU,足三里,403
ACU,合谷,404
ACU,百会,405
BEC,新产阴血暴伤,406
SYM,阳无所附而外热,407
BEC,寒凉克伐之剂,410
SYM,外热,411
BEC,寒气隔阳于外,412
MED,姜,414
MED,桂,415
SYM,肌肤发热,417
SIG,面目赤色,418
SYM,烦渴引饮,419
SYN,血脱发躁,420
PRE,当归补血汤,421
SIG,胸膈饱闷,422
SIG,嗳腐恶食,423
SIG,吞酸,424
SIG,吐泻,425
BEC,饮食停滞,427
MED,浓朴,429
MED,山楂,430
SYM,食少,432
SYM,难化,434
CON,脾气虚弱,435
PRE,六君子,436
BEC,峻厉之剂,438
SYM,热渴,440
SYM,寒热,441
BEC,中气复伤,443
PRE,甘温之药,447
PRE,滋阴生津润燥之药,448
LIT,卷之一\医论,449
DIS,伤寒时气病后调养,450
BEC,大病后,451
BEC,汗液外耗,452
BEC,水谷内竭,453
SIG,小便赤涩,454
SIG,大便秘结,455
SIG,便利枯竭,456
VIS,脾,458
BDP,中州,459
BEC,津液,461
VIS,大肠,462
BEC,主津,463
VIS,小肠,464
BEC,主液,465
BEC,燥甚,467
MED,辛,468
MED,苦,469
DIS,泄泻,470
MED,甘温之药,472
DIS,黄胆,473
MED,苦寒,477
MED,苦温,478
SIG,泄止,479
LIT,卷之一,482
LIT,医论,483
LIT,泄泻,484
DIS,湿热泄泻,485
SIG,小便不利,487
SYM,腹胀,488
PRE,茵陈五苓散,490
DIS,劳热,491
SYN,内伤,493
BEC,饮食过时,494
BEC,劳役过度,495
BEC,阴火,496
BEC,入房不节,498
BEC,亏损精血,499
BEC,虚火妄动,500
PRE,六味地黄丸,501
MED,茵陈,503
PRE,五苓散,504
PRE,枳术丸,511
BEC,饮食伤,512
BEC,劳倦伤,513
BEC,宿食郁热,514
BEC,根本竭,517
SYN,内伤元气不足之症,518
PRE,补药,519
LIT,《溯洄集》,520
DIS,内伤发热,521
BEC,阳气自伤,522
BEC,不能升达,523
BEC,降下阴分,524
CON,阳虚,525
PUL,脉大而无力,526
BEC,饮食劳倦,529
BEC,留滞不化,532
BEC,有余,533
SIG,泻之,534
BEC,伤饥失饱,535
BEC,损脾胃,536
BEC,不足,537
SIG,补之,538
DIS,阴虚发热,541
BEC,阴血自伤,542
BEC,不能制火,543
BEC,阳气升腾而为内热,544
BEC,阳旺,545
PUL,脉数而无力,546
VIS,心,547
CON,阴虚,551
SIG,无力,552
SIG,有力,553
BEC,升补阳气,555
BEC,培补阴血,557
BEC,脾胃阳气不足,558
SYN,形病俱虚,559
PRE,坎离丸,562
LIT,壮火食气,565
LIT,少火生气,566
BEC,化源,570
SYM,脾气渐弱,571
SYM,发热愈甚,572
SIG,小便涩滞,573
BDP,两拗肿痛,574
DIS,疮毒,575
BEC,肝、肾二经亏损，虚火所致,576
CON,脾胃素弱,579
CON,肝肾阴虚,580
PRE,十味固本丸,582
DIS,伤寒发热,585
BEC,寒邪入卫,586
VIS,阳气,587
VIS,阳气主外,589
BEC,寒,590
PUL,脉紧而有力,591
BEC,寒邪伤卫,592
SIG,治主外,593
SYN,少阳,594
SYM,胁痛,595
SIG,不能转侧,596
SYM,耳聋,597
BDP,朝,600
BDP,夕,601
VIS,真阳,602
BDP,陈湖一男子,603
PRE,小柴胡汤,604
BEC,风木,607
BEC,虫,608
MER,少阳,609
DIS,伤暑发热,610
BEC,火邪伤心,611
BEC,元气耗散,612
BEC,邪热入客于中,613
SYM,热,614
SIG,汗大泄,615
SYM,无气以动,616
PUL,脉虚迟而无力,617
BEC,外之热邪伤荣,618
BEC,治主内,619
BEC,夏月阳气浮于外,620
BEC,阴气伏于内,621
CON,调补阳气为主,622
DIS,解暑,623
PRE,香薷饮,625
BEC,走散阳气,626
BEC,导损真阴,627
FOO,薄荷煎汤,628
FOO,代茶,629
BEC,散人之真气,630
PRE,川芎汤,631
DIS,病有感,632
DIS,伤,633
DIS,中,634
BEC,感者,635
BDP,在皮毛,636
BEC,为轻伤者,637
BDP,兼肌肉,638
SYM,稍重,639
BEC,中者,640
VIS,属脏腑,641
SYM,最重,642
DIS,感寒,644
DIS,中寒,646
BEC,风,647
DIS,感风,648
DIS,伤风,649
DIS,中风,650
BEC,暑,651
DIS,感暑,652
DIS,伤暑,653
DIS,中暑,654
BEC,分轻重表里,655
DIS,中湿,656
DIS,中气,657
DIS,中毒,658
BEC,邪直入于中,659
DIS,重病,660
DIS,心腹疼痛,661
FOO,曾何饮食,662
BEC,因何伤感,663
BEC,无积滞,664
PRE,和中消导之药,665
SYM,日数已多,666
MED,辛温燥热之药,667
SIG,呕吐不纳,668
SYM,口舌干燥,670
SIG,大小便涩,671
BEC,郁热,672
DIS,旧病,673
SYM,绵延日久,674
PRE,开郁行气,675
PRE,降火润燥之药,676
MED,川芎,677
MED,香附,678
MED,炒山栀,679
MED,黄连,680
MED,姜汁,681
MED,芒硝,682
SYM,心腹久痛,683
PRE,温散药,684
MED,苦寒咸寒之药,685
BEC,饮食不化,688
BEC,饮食过多,690
BEC,停滞未化,691
PRE,人参养胃汤,692
BEC,脾胃受伤,693
PRE,六君子加当归,694
BEC,胃中有热,695
SYM,心腹中脘作痛,696
SYM,少食,701
CON,脾胃虚寒,703
SYM,腹满痛,705
SIG,按之不痛,706
SIG,痛者,707
PUL,脉弦紧,710
PRE,左金丸,711
SYM,心腹痛,712
MED,炒黑山栀,713
BDP,腹,715
BDP,心腹,716
BDP,中脘,717
SYM,恶心,720
MED,芎,723
MED,芷,724
MED,曲,725
BEC,客寒乘之,730
SYN,内虚寒而外假热,731
PRE,香砂六君子,732
MED,木香,733
MED,二香,735
SYM,胃脘当心痛,736
PUL,右寸关俱无,737
PUL,左虽有微而似绝,738
SIG,手足厥冷,739
TNG,眼胞上下青黯,740
SYN,脾虚肝木所胜,741
MED,术,743
MED,吴茱萸,748
BEC,脾胃之寒,749
SYM,心腹之痛,750
BDP,头,754
DIS,病,757
SIG,死字,758
SYM,百般思虑,759
SYM,安静,761
MED,药,762
BEC,病而不慎,763
DIS,死,764
BEC,清心,765
BEC,克己,766
BEC,谨慎,767
MED,良药,769
BDP,世人,770
BEC,恣情任性,772
BEC,自戕贼,773
SYM,畏死,774
CON,一等,775
SYM,明知畏死,776
BEC,怕人知觉,777
BEC,讳而不言,778
DIS,病已重,779
BEC,强作轻浅态度,780
BEC,欺人,781
BEC,知畏死而反以取死,782
SYM,思,784
BDP,病者,787
BEC,心火妄动,789
