Label,Entity Text,ID
LIT,妇人大全良方,1
LIT,《专治妇人方》,2
LIT,《产宝方》,3
DIS,产中数体,4
LIT,《专治》,5
LIT,《产宝》,6
LIT,看方三年，无病可治,7
LIT,治病三季，无药可疗,8
DIS,调经,9
DIS,产后,10
MED,辰砂,11
MED,雄黄,12
MED,雌黄,13
MED,石硫黄,14
MED,石亭脂,15
MED,伏龙肝,16
MED,太阴玄精石,17
MED,禹余粮,18
MED,代赭石,19
MED,磁石,20
MED,自然铜,21
MED,紫石英,22
MED,云母,23
MED,石太乙余粮,24
MED,赤石脂,25
MED,白石脂,26
MED,阳起石,27
MED,青礞石,28
MED,梁上尘,29
MED,绛矾,30
MED,青矾,31
MED,白矾,32
MED,石膏,33
MED,方解石,34
MED,滑石,35
MED,石,36
MED,苏合香油,37
MED,竹茹,38
MED,淡竹皮,39
MED,桑寄生,40
MED,木通,41
MED,川木通,42
MED,钱子木通,43
MED,拿藤,44
MED,罂粟壳,45
MED,阿魏,46
MED,葛根,47
MED,家葛,48
MED,野葛,49
PRE,升麻葛根汤,50
MED,麻黄,51
BDP,孕妇,52
VIS,胎气,53
DIS,胎孕,54
BDP,小儿,55
SYM,烦躁,56
MED,人参,57
MED,北细辛,58
MED,地榆,59
MED,威灵仙,60
MED,柴胡,61
MED,前胡,62
MED,羌活,63
MED,独活,64
SIG,紫色,65
SIG,蚕头,66
SIG,节稀,67
SIG,鬼眼状,68
SIG,白色,69
MED,老宿前胡,70
LIT,本草经,71
BEC,二物同一类,72
SIG,紫色节密者,73
SIG,黄色作块者,74
BEC,独活即羌活母类也,75
DIS,疗风,76
BDP,水,77
MED,白薇,78
MED,紫菀,79
BDP,牢山,81
BDP,沂,82
BDP,兖,83
DIS,肺病,84
MED,秦艽,85
MED,茜根,86
MED,本,87
MED,升麻,88
MED,漏芦,89
MED,防风,90
MED,桔梗,91
MED,木香,92
MED,南云根,93
MED,青木香,94
MED,独行根,95
MED,土青木香,96
LIT,《神农本经》,97
LIT,唐注,98
LIT,日华子,99
LIT,《本草》,100
LIT,《证类》,101
BEC,亡津液,102
BEC,走津液,103
MED,咸,104
VIS,肺,105
BDP,腹,106
SIG,小便,107
MED,南木香,109
MED,沉香,110
MED,丁香,111
MED,檀香,112
MED,白芷,113
MED,官桂,114
MED,藿香,115
MED,荆芥,116
MED,薄荷,117
MED,紫苏,118
MED,诸香药,119
MED,北艾,120
MED,败酱,121
MED,苦蓍,122
MED,喝起草,123
MED,苍耳,124
MED,泽兰叶,125
MED,香薷,130
MED,柏叶,131
MED,茵芋,132
MED,大青,133
MED,莽草,134
MED,樗枝,135
MED,石楠叶,136
MED,石苇,137
MED,枇杷叶,138
MED,姜汁,139
MED,黄连,140
MED,石菖蒲,141
MED,九节,142
MED,生于石上，叶有剑脊者,143
MED,溪荪,144
MED,生于泥中者,145
MED,昌阳,146
MED,巴豆,147
MED,舶上茴香,148
MED,北茴香,149
MED,葫芦巴,150
MED,破故纸,151
MED,蛇床子,152
MED,薏苡仁,153
MED,紫苏子,154
MED,野苏子,155
MED,真苏叶,156
MED,葶苈子,157
MED,甜者,158
MED,苦,159
MED,黑牵牛,160
MED,半生半炒,161
MED,牛蒡子,162
MED,芫花,163
MED,醋,164
MED,五味子,165
MED,色黑内有羊肾者,166
PRE,补药,167
PRE,嗽药,168
MED,木鳖子,169
FOO,麸,170
BDP,川中,172
MED,菘子,173
MED,车前子,174
MED,兔丝子,175
MED,香附子,176
MED,金毛狗脊,177
MED,骨碎补,178
MED,石斛,179
MED,卷柏,180
MED,甘松,181
MED,肉苁蓉,182
MED,当归,183
MED,川牛膝,184
MED,五加皮,185
MED,桂心,186
MED,海桐皮,187
MED,黄柏皮,188
MED,杨梅皮,189
MED,白藓皮,190
MED,杜仲,191
MED,浓朴,192
MED,桑白皮,193
MED,生姜,194
MED,甜瓜子,195
MED,栝蒌子,196
MED,冬瓜仁,197
MED,杏仁,198
MED,桃仁,199
MED,郁李仁,200
MED,酸枣仁,201
MED,柏子仁,202
MED,皂角,203
MED,川椒,204
MED,山栀,205
MED,越桃,206
MED,缩砂,207
MED,白豆蔻,208
MED,益智,209
MED,草果,210
MED,槟榔,211
MED,大腹子,212
MED,肉豆蔻,213
MED,山茱萸,214
MED,诃子,215
MED,诃藜勒,216
MED,川楝子,217
MED,大黄,218
MED,三棱,219
MED,红蒲根,220
MED,蓬莪术,221
MED,郁金,222
MED,野狼毒,223
MED,紫河车,224
MED,神曲,225
MED,半夏曲,226
MED,麦芽,227
MED,谷芽,228
MED,白姜,229
MED,天雄,230
MED,附子,231
MED,草乌,232
MED,川乌,233
MED,天南星,234
MED,吴茱萸,235
MED,半夏,236
MED,生地黄,238
MED,熟地黄,239
MED,熟者,241
MED,生者,242
MED,滴乳香,243
MED,蚌粉,244
MED,延胡索,245
BDP,根皮,246
MED,贝母,247
VIS,心,248
FOO,姜,249
MED,山药,250
MED,川芎,251
MED,芍药,252
MED,知母,253
MED,续断,254
MED,小蓟根,256
MED,巴戟,257
TNG,紫色,258
MED,牡丹皮,259
MED,枸杞根,260
MED,地骨皮,261
LIT,初虞世,262
MED,石莲,263
MED,乌药,264
BDP,洪州,265
MED,麦门冬,266
MED,天门冬,267
BDP,子,269
MED,远志,270
MED,黄芩,271
MED,枯肠草,272
MED,青橘皮,273
MED,橘皮,274
SYM,产后肌浮,275
MED,枳壳,276
MED,枳实,277
MED,茯苓,278
MED,茯神,279
MED,猪苓,280
MED,苍术,281
MED,白术,282
MED,浙术,283
