Label,Entity Text,ID
LIT,保婴撮要,1
DIS,薛铠,2
DIS,明,3
DIS,公元1368-1644年,4
LIT,序,5
BEC,五行,6
VIS,脾土,7
BDP,婴儿,8
BDP,声音,9
BDP,形气,10
BDP,意欲,11
SIG,虚之,12
SIG,实之,13
SIG,扶之,14
SIG,抑之,15
LIT,古人,16
LIT,成法,17
BEC,倭夷,18
BDP,村落,19
FOO,耕织,20
LIT,丙辰年正月,21
DIS,立斋先生,22
DIS,太医院院使,23
DIS,三吴世家,24
DIS,嘉靖丙辰岁春正月吉日,25
DIS,林懋举,26
LIT,初诞法,27
SYN,小儿在胎,28
BEC,禀阴阳五行之气,29
VIS,脏腑百骸,30
FOO,胎液,31
BDP,分娩之时,32
SIG,口含血块,33
SIG,啼声一出,34
SIG,咽下,35
BEC,毒伏于命门,36
BEC,天行时气久热,37
BEC,饮食停滞,38
BEC,外感风寒,39
SYM,惊风发热,40
DIS,疮疹,41
BDP,未啼时,42
FOO,软帛,43
BDP,指,44
SIG,挖去其血,45
MED,黄连,46
MED,豆豉,47
MED,朱,48
FOO,蜜,49
MED,甘草,50
SIG,解之,51
DIS,出痘,52
SIG,腹胀,53
SIG,呕吐,54
SYM,短气,55
SIG,不乳,56
PRE,茯苓丸,57
MED,黄连性寒,58
BEC,母气膏粱积热,59
CON,滋味淡薄,60
CON,胎气元弱,61
MED,朱砂,62
MED,牛黄,63
PRE,犀角解毒丸,65
CON,胎气虚寒虚弱,66
VIS,脾胃,67
BEC,生气,68
DIS,不育,69
DIS,难产,71
BEC,风寒,72
SYM,垂危,73
BDP,脐带,74
FOO,绵絮,75
MED,胎衣,76
BEC,火,77
BDP,腹,79
BEC,元气,80
BEC,外邪,81
BDP,腠理,82
FOO,汤,84
BDP,口,85
FOO,沸汤,87
FOO,盏,88
SIG,收生,89
FOO,软棉,90
MED,甘草汁,92
PRE,黄连法,94
PRE,朱蜜法,95
SIG,滤净,98
BDP,儿口中,99
SIG,恶汁,100
BDP,儿口,103
SYM,镇心定魄安神解毒,104
VIS,益肝胆,105
SYM,除烦热,106
BEC,辟邪气,107
PRE,朱蜜,109
SYM,除热,111
SYM,定精神,112
SYM,止惊邪,113
DIS,除小儿百病,115
MED,赤茯苓,117
BEC,胎冷,119
MED,芍药,120
MED,枳壳,121
SIG,炒,122
SIG,等分,123
PRE,炼蜜丸,124
SIG,桐子大,125
FOO,乳汁,126
LIT,护养法,127
LIT,巢氏,128
DIS,小儿初生,129
CON,肌肤未实,130
FOO,旧絮,131
BDP,背,132
FOO,风日,133
CON,血气刚强,134
CON,肌肉致密,135
BDP,重帏密室,136
FOO,浓衣,137
CON,筋骨软脆,138
SYM,不任风寒,139
DIS,多易致病,140
SYM,寒热,141
BDP,背暖,142
SIG,出汗,143
CON,表虚,144
BEC,风邪,145
FOO,乳哺,146
SYM,过饱,147
BEC,宿滞不化,148
PRE,消乳丸,149
CON,忍三分寒，吃七分饱，频揉肚，少洗澡，要肚暖头凉心胸凉,150
BDP,乳母,151
BEC,七情六淫,152
FOO,浓味炙,153
SIG,乳汁清宁,154
DIS,儿不致疾,155
BEC,阴阳偏胜,156
BEC,血气沸腾,157
SIG,乳汁败坏,158
SYM,诸症,159
PRE,用药饵,160
BEC,脏腑阴损,161
DIS,败症,162
CON,保婴之法,163
CON,未病则调治乳母,164
CON,既病则审治婴儿,165
CON,兼治其母,166
MED,缩砂仁,168
MED,陈皮,169
MED,京三棱（煨）,170
MED,蓬术（煨）,171
MED,神曲,172
MED,麦芽,173
MED,香附子（炒，一两）,174
PRE,面糊丸麻子大,175
FOO,白汤,176
LIT,卷一,177
DIS,噤风撮口脐风,178
DIS,小儿初生噤风,179
BEC,胎中受热,180
BEC,毒流心脾,181
BEC,风邪所搏,182
SIG,眼闭口噤,183
SYM,啼声不出,184
TNG,舌上如粟,185
SIG,口吐白沫,186
DIS,撮口,187
BEC,胎热兼风,188
BDP,脐,189
VIS,心脾,190
SYM,面目黄赤,191
SYM,气息喘急,192
SYM,舌强唇青,194
SYM,聚口撮面,195
SYM,腹胀青筋,196
SYM,吊肠牵痛,197
SIG,吐白沫,198
DIS,脐风,199
BDP,断脐,200
BEC,水湿风邪,201
SYM,腹胀,203
SYM,脐肿,204
SYM,四肢柔直,205
SYM,啼不吮乳,206
SYM,发搐,207
PRE,龙胆汤,208
PRE,天麻丸,209
BEC,痰涎,210
PRE,益脾散,211
SIG,脐边青黑,213
SYM,手拳口噤,214
DIS,内搐,215
BEC,七情气郁,217
BEC,浓味积热,218
SYM,爪甲黑,219
SYM,伸引努力,220
SYM,脐突,221
PRE,大连翘饮子,222
MED,旧绵,223
MED,烧灰,224
BDP,齿龈,225
TNG,泡如粟,226
FOO,温水,227
DIS,噤风,228
MED,天南星末,229
MED,片脑,230
MED,姜汁,231
BDP,龈,232
LIT,丹溪,233
MED,赤足蜈蚣,234
FOO,猪乳,235
MED,竹沥,237
SIG,一字,238
LIT,《圣惠方》,239
MED,郁金,240
MED,藜芦,241
MED,瓜蒂,242
SIG,水调搐鼻中,243
LIT,钱氏,244
BEC,浴后拭脐,246
BEC,风邪所入,247
PRE,益黄散,248
LIT,无择,249
SYM,泡,251
SIG,口即开,252
MED,真白僵蚕,253
BDP,口内,255
LIT,《保婴集》,256
DIS,小儿百日脐风马牙,257
BEC,胎毒,258
MER,泻足阳明火,259
ACU,针,260
MED,桑树白汁,261
BDP,初生小儿,262
MED,桑汁,263
DIS,舌硬撮口,264
BEC,浴拭外伤皮肤,266
MED,绵灰,267
MED,枯矾,268
BEC,乳母肝脾郁怒,269
BEC,剪脐短少,270
BEC,束缚不紧,271
BEC,牵动,272
BEC,风入脐中,273
BEC,铁器断脐,274
BEC,冷气传于脾络,275
DIS,前症,276
SYM,口内有水泡,277
BEC,毒水,278
MED,艾,279
ACU,炙脐中,280
PRE,千金龙胆汤,281
DIS,月内脐风撮口,282
SYM,四肢惊掣发热吐乳,283
