Label,Entity Text,ID
BEC,心、肺、胃三经之火上冲,1
SYM,龈烂唇肿,2
SYM,作脓作痛,3
SYM,烦躁不堪,4
PRE,甘露饮,5
LIT,医学摘粹,6
VIS,心,7
VIS,肺,8
VIS,胃,9
MER,三经,10
DIS,伤寒,11
SYN,表,12
SYN,里,13
BEC,寒,14
BEC,热,15
CON,虚,16
CON,实,17
LIT,神农,18
LIT,轩岐,19
LIT,仲景,20
LIT,《医学摘粹》,21
LIT,伤寒金匮,22
SIG,四诊法,23
SIG,辨证法,24
DIS,史民范,25
DIS,庆云阁,26
PRE,刀圭,28
LIT,灵,29
LIT,素,30
LIT,长沙,31
LIT,中华民国二年十月十五号癸丑秋九月既望,32
DIS,杂证,34
LIT,药性,35
LIT,辨证,36
LIT,四诊法,37
LIT,《伤寒》,40
LIT,徐氏《伤寒类方》,42
LIT,黄氏所着《伤寒悬解》,43
SYN,六经,44
SYN,太阳证,45
SYN,阳明证,46
SYN,少阳证,47
SYN,寒,50
SYN,热,51
SYN,虚,52
SYN,实,53
SYN,十六证,54
DIS,太阳之为病,55
PUL,脉浮,56
SYM,头项强痛,57
SYM,恶寒,58
SYM,发热,59
SYM,汗出,60
SYM,恶风,61
PUL,脉缓,62
SYN,中风,63
DIS,太阳病,64
SYM,未发热,66
SYM,必恶寒,67
SYM,体痛,68
SIG,呕逆,69
PUL,脉阴阳俱紧,70
SYN,伤寒,71
SYM,发热恶寒,72
BEC,发于阳,73
SYM,无热恶寒,74
BEC,发于阴,75
SYM,身大热,76
FOO,近衣,77
BEC,热在皮肤,78
BEC,寒在骨髓,79
SYM,身大寒,80
FOO,不欲近衣,81
BEC,寒在皮肤,82
BEC,热在骨髓,83
MER,太阳,84
BEC,寒水,85
BDP,皮毛,86
BEC,卫护周身,87
MER,六经,88
BEC,风寒,89
BEC,皮毛闭塞,90
MER,此经,91
SYM,头项、腰脊、骨筋疼痛,92
BEC,风寒外束,93
BEC,经脉不舒,94
ACU,风府穴,95
MER,督脉,96
SYN,太阳,97
VIS,肝,98
DIS,营血,99
BDP,经络,100
DIS,卫气,102
BEC,风,105
VIS,卫,106
VIS,营,108
VIS,营卫,109
DIS,太阳,110
DIS,太阳本病中风,111
PRE,桂枝汤,112
PRE,麻黄汤,114
DIS,风寒两感,115
PRE,桂枝麻黄各半汤,116
PRE,桂枝二麻黄一汤,117
DIS,中风而内有火郁,118
PRE,大青龙汤,119
PRE,桂枝二越婢一汤,120
DIS,伤寒而内有水郁,121
