Label,Entity Text,ID
LIT,杨氏家藏方,1
LIT,杨倓,2
LIT,宋,3
LIT,神农,4
LIT,金石草木之书,5
LIT,黄帝岐伯,6
LIT,内经素问,7
PRE,方,8
PRE,一千一百一十有一道,9
DIS,中风,10
SYM,左瘫右痪,11
SYM,手足曳,12
SYM,牙关紧急,13
SYM,口眼斜,14
SYM,语言謇涩,15
SYM,昏塞,16
BEC,血脉不行,17
DIS,小儿心肺中风,18
SYM,涎潮搐搦,19
MED,白花蛇头,20
BEC,酒浸三日，焙干,21
MED,乌蛇头,22
MED,赤足蜈蚣,24
BEC,寸后取，酒,25
MED,白僵蚕,26
BEC,用文武火,27
MED,沉香,28
MED,香,29
MED,没药,30
MED,脑子,31
MED,朱砂,32
FOO,好无灰酒,33
PRE,中风方四十一道,34
DIS,小儿急慢惊风,35
PRE,一丸,36
FOO,薄荷汤,37
LIT,卷第一\诸风上,38
LIT,中风方四十一道,39
SYM,瘫痪,41
SIG,口眼 斜,42
SYM,步履艰难,44
BDP,筋脉蜷缩,45
SYM,骨节疼痛,46
PRE,子丹,47
PRE,神柏散,48
MED,川乌头,49
BEC,炮,50
BEC,去皮脐、尖,51
MED,五灵脂,52
BEC,去石砂炒,53
MED,附子,54
BEC,去皮脐,56
MED,白花蛇,57
MED,六味各二两,58
MED,土,59
BEC,以上五味各一两,60
BEC,毒,61
DIS,八风,64
DIS,五痹,65
SYM,曳,67
SYM,口眼 斜,68
SYM,眉角牵引,69
SYM,项背拘强,70
SYM,心悸闷,72
SYM,神情如醉,73
SYM,遍身发热,74
SYM,骨节烦疼,75
SYM,肌肉麻木,76
SYM,腰膝沉重,77
SYM,皮肤 动,78
SYM,状若虫行,79
SYM,阳虚头痛,80
BEC,风寒入脑,81
SYM,目旋运转,82
SYM,耳内蝉鸣,83
MED,雄黄,85
MED,麝香,86
MED,生地黄,87
MED,当归,88
FOO,无灰酒,89
MED,花蛇,90
FOO,黑豆,91
FOO,酒,92
BEC,风寒湿痹,95
BDP,脚,96
SYM,打扑伤于筋骨,97
BEC,天阴,98
SYM,一身尽痛,99
SYM,不得睡卧,100
MED,川芎,101
MED,天麻,102
MED,白芍药,104
MED,细辛,105
MED,荆芥穗,106
MED,川楝子肉,107
MED,麻黄,108
MED,花枳壳,109
MED,香川乌头,110
MED,香附子,111
MED,车,112
MED,地骨皮,113
MED,防风,114
MED,牛,115
MED,乌药,116
