Label,Entity Text,ID
LIT,周慎斋遗书,1
LIT,赵序,2
LIT,乾隆甲午,3
LIT,明慎斋遗书,4
LIT,医林指月,5
LIT,李太白,6
LIT,李长吉,7
LIT,慎斋遗书,8
LIT,东扶张先生,9
LIT,慎斋,10
LIT,张氏医通,11
LIT,勾吴逋人,12
LIT,张仲景,13
LIT,东垣,14
LIT,河间,15
LIT,丹溪,16
LIT,戴人,17
LIT,李刘朱张,18
LIT,周之干,20
LIT,《遗书》,21
BEC,天为阳,22
BEC,地为阴,23
BEC,火为阳,24
BEC,水为阴,25
BEC,天地,26
BEC,阴阳之定位,27
BEC,水火,28
BEC,阴阳之生化,29
BEC,阴阳,30
VIS,脏腑,31
BEC,气运,32
SIG,色脉,33
LIT,经解,34
LIT,方解,35
BEC,病机,36
PRE,方案,37
LIT,仲景《金匮玉函经》,38
DIS,旱浸之灾,40
VIS,天地,41
BDP,形,42
CON,阴,43
BDP,神,44
CON,阳,45
VIS,心肾,46
BDP,神气,48
BDP,体,49
BDP,形血,50
BDP,用,51
BEC,病于形,52
SYM,害于神,53
BEC,病于神,54
SYM,害于形,55
BEC,气病,56
SYM,伤血,57
BEC,血病,58
SYM,伤气,59
CON,阴阳,60
BEC,气血,62
BEC,腑病,63
BEC,脏不病,64
BEC,脏病,65
BEC,腑不病,66
BEC,固脏,68
BEC,病在脏,69
BEC,理腑,70
BEC,腑入脏,71
BEC,脏入腑,72
BEC,阳,74
BEC,天道,75
BEC,阴,76
BEC,地道,77
BEC,天之阳,78
BEC,地之阴,79
BEC,天主健,80
BEC,滞,81
BEC,健运之机,82
DIS,万物屯,83
BEC,地主静,84
BEC,动,85
BEC,凝静之气,86
DIS,万物否,87
BEC,人身之阳,88
BEC,流行之机,89
DIS,百病,90
BEC,人身之阴,91
BEC,安养之义,92
DIS,百害,93
BEC,阳生而阴长,94
BEC,阴生而阳旺,95
BEC,阴与阳,96
BEC,一身之司命,97
BEC,偏废,98
BEC,失,99
BDP,医者,100
CON,阳为重,101
CON,阴为要,102
BEC,要重之故,103
BEC,执其说,104
BEC,轻重之机宜,105
CON,阳重,106
CON,人身之真阳,108
BEC,壮火食气,109
CON,亢阳,110
BEC,天之久旱酷暑,111
MED,甘霖清气,112
BEC,扶阴,114
MED,黄柏,115
MED,知母,116
MED,苦寒之味,117
BEC,扶阴正所以济阳,118
LIT,炳章按,119
LIT,平正之论,120
BEC,扶阳者知顾阴,121
BEC,扶阴者知顾阳,122
BEC,一偏之害,123
CON,阴重,124
CON,人身之真阴,126
BEC,坚凝寒结,127
CON,浊阴,128
BEC,重阴凛冽之寒气,129
BEC,皓日晴和之气,130
LIT,先哲,131
BEC,扶阳,132
MED,桂附干姜,133
BEC,扶阳正所以济阴,134
BEC,火烈则水干,135
BEC,水盛则火灭,136
BEC,两相需而不得偏轻偏重,137
BEC,重阴而害及真阳,138
BEC,重阳而害及真阴,139
BEC,天,140
BEC,地,141
BEC,饮食思虑劳碌淫逸,143
BEC,五运六气外感,144
BEC,天时,145
BEC,风寒暑湿燥火,146
VIS,金木水火土,147
CON,虚,148
CON,实,149
SYN,外感之实症,154
SYN,内伤之虚症,155
CON,阳气,158
CON,阴气,159
PRE,六味,160
MED,桂附,161
PRE,四君,162
MED,补骨脂,163
MED,五味子,164
VIS,胃阳,165
VIS,脾阴,166
VIS,肾,167
VIS,胃,168
BEC,肾津液枯,169
CON,五行,171
VIS,阳,172
VIS,阴,173
BDP,人之脏腑经络皮肉筋骨表里内外,174
BEC,五行,175
SYM,形质之失宜,176
BEC,气行之失序,177
DIS,地之万物不生,178
BEC,天气寒热水旱,179
SYN,人身之阴阳,180
BEC,天地之形气,181
VIS,五脏六腑,182
BEC,四时,183
BEC,天之阴阳失,184
DIS,万物安,185
BEC,人身之阴阳五行失,186
DIS,百病除,187
CON,先天,188
CON,后天,189
VIS,元阳一气,190
BEC,苍天之气,191
BEC,清净之气,192
BEC,阴阳五行,193
BEC,先天后天,194
