Label,Entity Text,ID
LIT,针灸甲乙经,1
DIS,皇甫谧,2
DIS,风痹,3
LIT,素问,4
LIT,针经,5
LIT,明堂,6
LIT,针灸经,7
LIT,《黄帝内经》,8
LIT,《针经》,9
LIT,《素问》,10
LIT,《九墟》,11
LIT,《灵枢》,12
LIT,《太素经》,13
LIT,《千金方》,14
LIT,《翼》,15
LIT,《外台秘要》,16
BEC,神农,17
FOO,草木,18
MED,百药,19
DIS,黄帝,20
DIS,岐伯,21
DIS,伯高,22
DIS,少俞,23
VIS,五脏六腑,24
MER,经络,25
BEC,血气,26
SIG,色候,27
LIT,针道,28
DIS,雷公,29
DIS,伊芳尹,30
LIT,神农本草,31
PRE,汤液,32
DIS,俞跗,33
DIS,医缓,34
DIS,扁鹊,35
DIS,医和,36
DIS,仓公,37
DIS,华佗,38
DIS,张仲景,39
DIS,刘季琰,40
BEC,畏恶,41
DIS,病发,42
SYM,九年,43
DIS,王仲宣,44
SYM,四十,45
SIG,眉落,46
SYM,半年,47
DIS,死,48
PRE,五石汤,49
DIS,仲景,51
DIS,王叔和,52
LIT,《七略・艺文志》,53
LIT,仓公传,57
LIT,《九卷》,58
LIT,《明堂孔穴针灸治要》,59
DIS,甘露,60
SYM,风,61
SYM,聋,62
LIT,黄帝,63
LIT,雷公,64
LIT,岐伯之徒,65
LIT,序例,66
VIS,神,69
VIS,血脉,70
VIS,营气,71
VIS,精神,72
VIS,五脏,73
BEC,德,74
BEC,气,75
BEC,生,76
BEC,精,77
BEC,神,78
BEC,魂,79
BEC,魄,80
VIS,心,81
BEC,意,82
BEC,志,83
BEC,思,84
BEC,智,85
BEC,虑,86
BEC,天,87
BEC,地,88
BEC,德流气薄而生,89
VIS,精,90
VIS,魂,92
VIS,魄,93
VIS,意,95
VIS,志,96
VIS,思,97
VIS,虑,98
VIS,智,99
BDP,四时,100
BDP,寒暑,101
BEC,喜怒,102
BDP,安居处,103
BEC,阴阳,104
BEC,刚柔,105
DIS,邪僻,106
SYM,长生久视,107
SYM,怵惕思虑,108
SYM,神伤,109
SYM,恐惧流淫而不正,110
BEC,悲哀动中,111
SYM,竭绝而失生,112
SYM,喜乐,113
SYM,神惮散而不藏,114
SYM,愁忧,115
SYM,气闭塞而不行,116
SYM,盛怒,117
SYM,迷惑而不治,118
SYM,恐惧,119
SYM,荡惮而不收,120
LIT,《太素》,121
SIG,不收,122
SIG,作失守,123
SYM,怒,125
SYM,气逆,126
SIG,呕血,127
SYM,食而气逆,128
SYM,气上,129
SYM,喜,130
SYM,气和志达,131
SYM,营卫通利,132
SYM,气缓,133
SYM,悲,134
SYM,心系急,135
SYM,肺布叶举,136
BEC,两焦不通,137
BEC,营卫不散,138
BEC,热气在中,139
SYM,气消,140
SYM,恐,141
BEC,神却,142
BEC,上焦闭,143
BEC,气还,144
SYM,下焦胀,145
BEC,气不行,146
SYM,热,147
BEC,腠理开,148
BEC,营卫通,149
SYM,汗大泄,150
SYM,惊,151
SYM,心无所倚,152
SYM,神无所归,153
SYM,虑无所定,154
BEC,气乱,155
SYM,劳,156
SYM,喘,157
SYM,汗出,158
BEC,内外皆越,159
BEC,气耗,160
SYM,思,161
BEC,心有所伤,162
BEC,神有所止,163
BEC,气流而不行,164
BEC,气结,165
BEC,九气,166
VIS,肝,167
MED,血,168
BDP,魂,169
SIG,语,170
SIG,泪,171
CON,肝气虚,172
CON,实,174
BEC,人卧,177
BEC,血归于肝,178
BDP,视,180
BDP,足,181
BDP,步,182
BDP,掌,183
BDP,握,184
BDP,指,185
BDP,摄,186
MED,脉,188
BDP,神,189
SIG,吞,190
SIG,汗,191
CON,心气虚,192
SYM,悲忧,193
SYM,笑不休,195
VIS,脾,196
MED,营,197
BDP,意,198
SIG,噫,199
SIG,涎,200
CON,脾气虚,201
SYM,四肢不用,202
SYM,五脏不安,203
SYM,腹胀,205
SIG,泾溲不利,206
VIS,肺,207
MED,气,208
BDP,魄,209
SIG,咳,210
SIG,涕,211
CON,肺气虚,212
SYM,鼻息不利,213
SYM,少气,214
SYM,喘喝,216
BDP,胸凭,217
SIG,仰息,218
VIS,肾藏精,219
VIS,气,221
SYM,欠,222
SIG,唾,223
CON,肾气虚,224
SYM,厥,225
SYM,胀,227
BEC,肝气悲哀动中,230
BEC,伤魂,231
SYM,狂妄,232
SYM,其精不守,233
SYM,阴缩,234
SYM,筋挛,235
SYM,两胁肋骨不举,236
SYM,毛悴色夭,237
DIS,死于秋,238
SIG,呼,240
SIG,握,241
