id,from_id,to_id,type
1,1,2,from
2,1,3,from
3,4,8,oname
4,13,9,from
5,13,10,from
6,11,12,from
7,9,14,from
8,10,14,from
9,16,15,from
10,15,17,from
11,15,18,from
12,25,26,inandex
13,31,32,related
14,32,33,inandex
15,41,40,treat
16,46,47,from
17,50,51,oname
18,51,52,oname
19,53,69,from
20,53,70,from
21,55,71,from
22,57,72,from
23,58,59,oname
24,51,54,oname
25,65,64,perf
26,67,66,perf
27,68,67,perf
28,61,60,cause
29,62,63,cause
30,63,64,oname
31,74,89,from
32,75,89,from
33,76,89,from
34,77,89,from
35,78,89,from
36,79,89,from
37,80,81,perf
38,84,82,oname
39,90,92,oname
40,91,93,oname
41,94,95,cause
42,96,97,cause
43,98,99,cause
44,98,100,cause
45,101,102,oname
46,103,104,oname
47,105,107,cause
48,105,108,cause
49,106,109,cause
50,106,110,cause
51,111,112,perf
52,111,113,perf
53,111,114,perf
54,111,115,perf
55,116,117,perf
56,116,118,perf
57,116,119,perf
58,116,120,perf
59,134,111,from
60,134,116,from
61,212,105,perf
62,213,106,perf
63,215,268,cause
64,216,268,cause
65,217,268,cause
66,218,219,perf
67,221,222,perf
68,225,226,perf
69,227,228,perf
70,229,230,perf
71,231,232,perf
72,233,234,perf
73,236,237,perf
74,238,239,perf
75,240,241,perf
76,242,243,perf
77,242,244,perf
78,245,246,perf
79,247,248,perf
80,247,249,perf
81,171,250,mapped_part
82,171,251,mapped_part
83,254,255,mapped_part
84,256,257,mapped_part
85,258,259,perf
86,259,260,mapped_part
87,260,261,perf
88,261,262,perf
89,263,264,perf
90,264,265,mapped_part
91,265,266,perf
92,266,267,perf
93,269,270,onandex
94,272,9,from
95,273,9,from
96,274,9,from
97,292,302,cause
98,294,303,cause
99,296,276,cause
100,298,279,cause
101,300,278,cause
