Label,Entity Text,ID
DIS,百虫入耳,1
MED,小蒜,2
MED,鸡血,3
DIS,误吞针入喉,4
MED,磁石,5
DIS,虎咬伤,6
MED,蛴螬,7
FOO,香麻油,8
DIS,误吞水蛭入腹内,9
MED,田中黄泥,10
FOO,小死鱼,11
FOO,猪脂,12
MED,巴豆,13
FOO,荸荠,14
DIS,小儿误吞铜钱,15
DIS,绞肠沙症,16
SYM,手足厥冷,17
SYM,腹痛,18
BDP,膝弯,19
SIG,紫黑点,20
BEC,恶血,21
DIS,解诸毒,22
MED,黄连,23
MED,甘草,24
DIS,解榛疮毒,25
MED,韭菜根,26
FOO,蟹黄,27
DIS,调经,28
SYN,女子七岁肾气盛齿更发长二七而天癸至任脉通大冲脉盛月事以时下,29
VIS,天癸,30
MER,任脉,31
MER,大冲脉,32
DIS,月事,33
DIS,产后,34
DIS,宿疾,35
DIS,血分痨瘵,36
DIS,崩漏不止,37
BEC,心火亢盛,38
BEC,血脉泛溢,39
BEC,肝实而不纳血,40
BEC,出纳之道遂废,41
BEC,相火挟心火之势,42
BEC,月事错经妄行,43
DIS,带下白浊白淫,44
DIS,血枯发热,45
DIS,劳极,46
DIS,经闭不行,47
DIS,经漏不止,48
DIS,月经不调,49
BEC,犯之微若秋毫感病重如山岳,50
DIS,病源,51
BEC,劳伤气血,52
BEC,风冷气袭,53
BEC,七情,54
BEC,六淫,55
BEC,房劳,56
DIS,经者候也,57
BEC,阴阳愆伏,58
CON,阳,59
CON,阴,60
DIS,前期而来,61
DIS,后期而至,62
DIS,乍多乍少,63
DIS,断绝不行,64
BEC,寒热为邪,66
DIS,妇人月水不调,67
CON,体虚,68
BEC,风冷之气,69
BDP,胞内,70
MER,冲任之脉,71
MER,太阳少阴之经,72
MER,手太阳小肠之经,73
MER,手少阴心之经,74
FOO,乳汁,75
DIS,月水,76
BEC,冷热调和,77
MER,太阳少阴,79
MED,血,80
BEC,寒温乖适,81
BEC,经脉则虚,82
BEC,乘之,84
BEC,邪传之血,85
BEC,寒,86
BEC,温,87
DIS,月水乍多乍少,88
DIS,经脉不调,89
DIS,堕胎,90
BEC,脾胃不和,92
SIG,饮食少进,93
BEC,心气停结,95
BEC,气,97
SIG,成块,98
BEC,气之凝,99
SYM,将行而痛,100
BEC,气之滞,101
SYM,行后作痛,102
CON,气血俱虚,103
TNG,色淡,104
CON,虚,105
BEC,错经妄行,106
BEC,气之乱,107
TNG,紫,108
BEC,气之热,109
TNG,黑,110
BEC,热之甚,111
BEC,风冷,112
BEC,气行则血行,113
BEC,气止则血止,114
LIT,王节斋,115
DIS,经闭血死,116
PRE,通经破血之药,117
BEC,饮食劳倦,118
BEC,损伤脾胃,119
SIG,少食恶食,120
SYM,泄泻疼痛,121
BEC,汗下致克药,122
BEC,中气,123
BEC,血少,124
SYN,脾胃虚,125
MED,冬瓜子,126
DIS,慢惊,127
DIS,慢脾风,128
MED,黄,129
MED,人参,130
MED,木香,131
MED,莲肉,133
MED,扁豆,134
MED,茯苓,135
MED,白术,136
MED,全蝎,137
MED,防风,138
MED,羌活,139
MED,天麻,140
SYN,脾困内虚,141
DIS,将作慢惊,142
FOO,陈米,143
SYN,慢惊尚有阳症,144
MED,白附子,145
MED,僵蚕,146
MED,胆星,147
MED,蝉蜕,148
MED,琥珀,149
MED,辰砂,150
MED,麝香,151
FOO,粟米,152
MED,金箔,153
DIS,慢脾风症,154
BEC,胃虚受风,155
SYM,面青,156
SYM,额汗,157
SIG,舌强,158
BDP,头低,159
SIG,吐腥,160
SIG,口噤,161
SYM,肢冷,162
PUL,脉微,163
PRE,蝎附散,164
PRE,君附散,165
SYN,慢脾风久困,166
SIG,吐泻,167
SYM,困睡,168
SIG,不食,169
SYM,多汗,170
PRE,朱君散,171
PRE,异功散,172
SIG,痰涎盛,173
SYM,微喘,174
SYM,肢强,175
PRE,白僵蚕丸,176
SYM,回阳气,177
SIG,豁痰涎,178
MED,黑附子,179
MED,南星,180
MED,姜,181
MED,枣,182
SYN,慢脾困睡不食多汗,183
MED,朱砂,184
FOO,清米汤,185
MED,橘红,186
MED,山药,187
DIS,惊风,188
SIG,泻青痰鸣,189
SYM,发热,190
DIS,惊风将至,191
PRE,钩藤饮,193
SYN,惊热内实,194
PRE,青龙丸,195
PRE,牛黄镇心丸,196
SYM,神不宁,197
PRE,安神丸,198
PRE,镇惊锭子,199
BEC,风邪入内,200
SYM,肚疼,201
SYM,夜啼,202
SIG,痰鸣,203
MED,钩藤,204
MED,川芎,205
MED,芍药,206
MED,灯心,207
MED,青黛,208
MED,芦荟,209
MED,轻粉,210
FOO,饭,212
FOO,薄荷汤,214
DIS,天钓,215
SYM,壮热,216
SYM,眼翻,217
SYM,手抽掣,218
SYM,惊啼,219
MED,大黄,220
MED,独活,221
MED,青皮,222
MED,犀角,223
DIS,中风,224
SIG,昏不出声,225
MED,细辛,226
MED,薄荷,227
MED,牙皂,228
MED,雄黄,229
SYN,小儿中风痰盛,230
MED,半夏,231
MED,黄芩,232
SIG,不省人事,233
SIG,涎鸣反张,234
SYM,厥冷,235
MED,麻黄,236
MED,杏仁,237
MED,防己,238
MED,肉官桂,239
MED,附子,240
PRE,保命丹,241
PRE,珍珠丸,242
SYM,狂语,243
SIG,失音精神错乱,244
MED,白藓皮,245
MED,桂心,247
MED,当归,248
DIS,夜啼客忤,253
