id,from_id,to_id,type,from_label,from_entity,from_modified,to_label,to_entity,to_modified
1,65357,66248,from,LIT,得配本草,0,LIT,纲目,0
2,66838,65564,from,LIT,雷公炮制法,0,LIT,本草纲目,0
3,72215,49565,treat,MED,立春雨水,0,DIS,发散,0
4,72215,83161,treat,MED,立春雨水,0,PRE,补中益气药,0
5,74617,32411,reflect,MED,露水,0,BEC,肃杀之气,0
6,74617,132806,treat,MED,露水,0,VIS,润肺,0
7,74617,53163,treat,MED,露水,0,DIS,杀祟,0
8,74617,54839,treat,MED,露水,0,DIS,疥癣,0
9,74617,58253,treat,MED,露水,0,DIS,虫癞,0
10,67631,125827,treat,MED,冬霜,0,SYM,酒热,0
11,67631,48266,treat,MED,冬霜,0,DIS,伤寒,0
12,67631,103013,treat,MED,冬霜,0,SIG,鼻塞,0
13,67631,51242,treat,MED,冬霜,0,DIS,寒热疟疾,0
14,62027,51242,treat,FOO,热酒,0,DIS,寒热疟疾,0
15,72709,50522,treat,MED,腊雪水,0,DIS,天行时疫,0
16,72709,97304,treat,MED,腊雪水,0,SIG,洗目退赤,0
17,68391,104947,treat,MED,夏冰,0,SYM,伤寒狂热,0
18,68391,28570,treat,MED,夏冰,0,BEC,烧酒毒,0
19,71245,67117,oname,MED,甘澜水,0,MED,东流水,0
20,71245,67811,oname,MED,甘澜水,0,MED,劳水,0
21,71245,46396,treat,MED,甘澜水,0,CON,阳盛阴虚,0
22,71245,118697,treat,MED,甘澜水,0,SYM,目不能瞑,0
23,71245,59831,treat,MED,甘澜水,0,DIS,霍乱吐利,0
24,71245,69259,oname,MED,甘澜水,0,MED,急流水,0
25,74045,42767,treat,MED,逆流水,0,BEC,风邪痰饮,0
26,74045,54790,treat,MED,逆流水,0,DIS,疟疾,0
27,74045,49919,treat,MED,逆流水,0,DIS,咽喉诸病,0
28,67352,67350,oname,MED,井泉水,0,MED,井华水,0
29,67352,117014,treat,MED,井泉水,0,SYM,热闷,0
30,67352,116634,treat,MED,井泉水,0,SYM,烦渴,0
31,67352,73765,assist_diag,MED,井泉水,0,MED,补阴之药,0
32,68316,68276,oname,MED,地浆,0,MED,土浆,0
33,71861,133861,treat,MED,百沸汤,0,VIS,阳气,0
34,71861,76137,treat,MED,百沸汤,0,MER,经络,0
35,71861,59861,treat,MED,百沸汤,0,DIS,霍乱转筋入腹,0
36,74453,130363,treat,MED,阴阳水,0,SYN,阴阳不和,0
37,74453,92660,treat,MED,阴阳水,0,SIG,吐泻交作,0
38,74453,90250,treat,MED,阴阳水,0,SIG,不能纳食及药,0
39,74453,106358,treat,MED,阴阳水,0,SYM,危甚者,0
40,75372,97450,treat,MED,齑水,0,SIG,涌吐痰食,0
41,72153,5468,treat,MED,磨刀水,0,BDP,小便,0
42,72153,116973,treat,MED,磨刀水,0,SYM,热肿,0
43,72153,56065,treat,MED,磨刀水,0,DIS,盘肠生产肠干不上者,0
44,72149,56065,treat,MED,磁石,0,DIS,盘肠生产肠干不上者,0
45,6168,55897,perf,BDP,手,0,DIS,癣,0
46,72761,56000,treat,MED,艾火,0,DIS,百病,0
47,72761,58890,treat,MED,艾火,0,DIS,诸风冷疾,0
48,72136,72761,comp,MED,硫黄,0,MED,艾火,0
49,70613,49980,treat,MED,灯花,0,DIS,喉痹,0
50,70613,59398,treat,MED,灯花,0,DIS,金疮,0
51,39271,109302,cause,BEC,邪热在心,0,SYM,夜啼不止,0
52,70613,109302,treat,MED,灯花,0,SYM,夜啼不止,0
53,70606,109302,treat,MED,灯心,0,SYM,夜啼不止,0
54,75206,53774,treat,MED,黄土,0,DIS,泄痢,0
55,75206,122754,treat,MED,黄土,0,SYM,腹内热毒绞结痛,0
56,75206,89922,treat,MED,黄土,0,SIG,下血,0
57,75206,35854,treat,MED,黄土,0,BEC,药毒,0
58,75206,32419,treat,MED,黄土,0,BEC,肉毒,0
59,75206,16743,treat,MED,黄土,0,BEC,合口椒毒,0
60,75206,39910,treat,MED,黄土,0,BEC,野菌毒,0
61,75279,51425,treat,MED,黄连,0,DIS,小儿吃土,0
62,67113,35188,treat,MED,东壁土,0,BEC,脾胃湿多,0
63,67113,49780,treat,MED,东壁土,0,DIS,吐泻霍乱,0
64,67113,37273,treat,MED,东壁土,0,BEC,补土胜湿,0
65,75686,67113,from,MER,太阳,0,MED,东壁土,0
66,31189,67113,treat,BEC,真火,0,MED,东壁土,0
67,72658,52446,treat,MED,胡燕窠土,0,DIS,惊痫,0
68,72658,54904,treat,MED,胡燕窠土,0,DIS,疮疥,0
69,73557,67575,oname,MED,蚯蚓泥,0,MED,六一泥,0
70,73557,58985,treat,MED,蚯蚓泥,0,DIS,赤白久热痢,0
71,67175,68725,oname,MED,乌爹泥,0,MED,孩儿茶,0
72,67175,11533,treat,MED,乌爹泥,0,BEC,上膈热,0
73,67175,91784,treat,MED,乌爹泥,0,SIG,化痰,0
74,67175,98503,treat,MED,乌爹泥,0,SIG,生津,0
75,67175,46836,treat,MED,乌爹泥,0,DIS,一切疮,0
76,67175,98519,treat,MED,乌爹泥,0,SIG,生肌定痛,0
77,67175,96621,treat,MED,乌爹泥,0,SIG,止血,0
78,67175,95851,treat,MED,乌爹泥,0,SIG,收湿,0
79,67435,70633,oname,MED,伏龙肝,0,MED,灶心土,0
80,67435,124502,treat,MED,伏龙肝,0,SYM,调中燥湿,0
81,67435,115936,treat,MED,伏龙肝,0,SYM,消肿止血,0
82,67435,58992,treat,MED,伏龙肝,0,DIS,赤白带下,0
83,67435,111126,treat,MED,伏龙肝,0,SYM,尿血,0
84,67435,125783,treat,MED,伏龙肝,0,SYM,遗精,0
85,67435,109375,treat,MED,伏龙肝,0,SYM,大便后血,0
86,75250,109375,treat,MED,黄芩,0,SYM,大便后血,0
87,74457,109375,treat,MED,阿胶,0,SYM,大便后血,0
88,67435,50944,treat,MED,伏龙肝,0,DIS,妇人血漏,0
89,73545,50944,treat,MED,蚕沙,0,DIS,妇人血漏,0
90,63231,10338,treat,FOO,醋,0,BDP,阴肿,0
91,67435,10338,treat,MED,伏龙肝,0,BDP,阴肿,0
92,63600,47579,treat,FOO,鸡子清,0,DIS,丹毒,0
93,67435,47579,treat,MED,伏龙肝,0,DIS,丹毒,0
94,67157,52660,treat,MED,乌古瓦,0,DIS,损伤续断,0
95,67157,111830,treat,MED,乌古瓦,0,SYM,心中大热,0
96,68369,114806,treat,MED,墨,0,SYM,止血生肌,0
97,68369,57498,treat,MED,墨,0,DIS,胞衣不下,0
98,63148,57498,treat,FOO,酒,0,DIS,胞衣不下,0
99,68369,58465,treat,MED,墨,0,DIS,血崩,0
100,68369,127721,treat,MED,墨,0,SYM,鼻衄不已,0
101,60857,127721,treat,FOO,井水,0,SYM,鼻衄不已,0
102,68369,51151,treat,MED,墨,0,DIS,客忤,0
103,61171,51151,treat,FOO,地浆,0,DIS,客忤,0
104,68369,107293,treat,MED,墨,0,SYM,吐血不止,0
105,61174,107293,treat,FOO,地黄汁,0,SYM,吐血不止,0
106,71867,115928,treat,MED,百草霜,0,SYM,消积,0
107,71867,114804,treat,MED,百草霜,0,SYM,止血,0
108,71867,49692,treat,MED,百草霜,0,DIS,口舌诸疮,0
109,71867,55491,treat,MED,百草霜,0,DIS,痘疹痈肿,0
110,71867,57422,treat,MED,百草霜,0,DIS,胎动下血,0
111,69976,57422,treat,MED,棕炭,0,DIS,胎动下血,0
112,68993,52647,treat,MED,川连,0,DIS,挟热下痢,0
113,74278,67445,comp,MED,金箔,0,MED,余甘子,0
114,74278,74866,comp,MED,金箔,0,MED,驴马脂,0
115,74278,70187,treat,MED,金箔,0,MED,水银,0
116,74278,72569,treat,MED,金箔,0,MED,翡翠石,0
117,74278,74405,treat,MED,金箔,0,MED,锡,0
118,74278,132597,treat,MED,金箔,0,VIS,心肝,0
119,74278,112732,treat,MED,金箔,0,SYM,惊悸,0
120,74278,60129,treat,MED,金箔,0,DIS,风痫,0
121,74278,38154,treat,MED,金箔,0,BEC,轻粉毒,0
122,63644,74278,treat,FOO,鹧鸪肉,0,MED,金箔,0
123,74389,72024,treat,MED,银箔,0,MED,石亭脂,0
124,74389,72105,treat,MED,银箔,0,MED,砒石,0
125,74389,73199,treat,MED,银箔,0,MED,荷叶,0
126,74389,73436,treat,MED,银箔,0,MED,蕈灰,0
127,74389,72557,treat,MED,银箔,0,MED,羚羊角,0
128,74389,67194,treat,MED,银箔,0,MED,乌贼骨,0
129,74389,71252,treat,MED,银箔,0,MED,甘草,0
130,74389,74752,treat,MED,银箔,0,MED,飞廉,0
131,74389,75357,treat,MED,银箔,0,MED,鼠尾,0
132,74389,75406,treat,MED,银箔,0,MED,龟甲,0
133,74389,71367,treat,MED,银箔,0,MED,生姜,0
134,74389,68335,treat,MED,银箔,0,MED,地黄,0
135,74389,62692,treat,MED,银箔,0,FOO,羊脂,0
136,74389,72332,treat,MED,银箔,0,MED,紫苏子,0
137,74389,74830,treat,MED,银箔,0,MED,马目毒公,0
138,74389,62696,treat,MED,银箔,0,FOO,羊血,0
139,74389,132591,treat,MED,银箔,0,VIS,心神,0
140,74389,117247,treat,MED,银箔,0,SYM,狂热,0
