Label,Entity Text,ID
LIT,女科经纶,1
CON,萧埙,2
CON,清,3
BEC,阴阳,4
BDP,天地,5
BDP,万物,6
BDP,男女,7
BDP,夫妇,8
BDP,妇人,9
DIS,月经胎产,10
DIS,崩淋带下,11
DIS,妇人月经诸症,12
SYM,带下,15
LIT,《女科经纶》,16
LIT,《医学经纶》,17
LIT,司马子长,18
LIT,扁鹊,19
LIT,长桑君,20
BEC,女子七岁,21
BEC,肾气盛,22
SYM,齿更发长,23
BEC,二七,24
BEC,天癸至,25
BEC,任脉通,26
BEC,太冲脉盛,27
SYM,月事以时而下,28
SYM,有子,29
MER,冲脉,30
BDP,胞中,31
BDP,气街,32
BDP,胸,33
BDP,背,34
BDP,颃颡,35
BDP,诸阳,36
BDP,足,37
BDP,诸络,38
MER,十二经脉之海,39
MER,少阴经,40
VIS,血海,41
BEC,天地温和,42
SYM,经水安静,43
BEC,天寒地冻,44
SYM,经水凝泣,45
BEC,天暑地热,46
SYM,经水沸溢,47
BEC,卒风暴起,48
SYM,经水波涌而陇起,49
LIT,素问,50
LIT,灵枢,51
SYM,血凝泣,52
SYM,气淖泽,53
BEC,虚邪,54
BDP,经水,55
BEC,风,56
DIS,女子月事,57
BDP,经水之源,62
BEC,寒,63
BEC,热,64
BEC,天地寒暑之气,65
DIS,调经,66
LIT,冲为血海,67
VIS,血室,68
MER,任脉通,69
MER,冲脉盛,70
CON,阳气,71
CON,阴血,72
DIS,信,73
MER,任冲二脉,74
MER,血海,75
SYM,月事而下,76
MER,任脉,79
MER,血之海,81
BEC,血海有余,82
BDP,七日,83
MER,十二经,84
MER,任督二脉,85
BDP,中极之下,87
BDP,毛际,88
BDP,腹里,89
ACU,关元,90
BDP,咽喉,91
MER,阴脉之海,92
ACU,长强,93
MER,督脉,94
BDP,脊里,95
ACU,风府,96
BDP,脑,97
BDP,巅,98
BDP,额,99
BDP,鼻柱,100
CON,阳脉之海,101
MER,奇经,102
BEC,阴血,104
ACU,太冲,105
MER,阳明,106
CON,血之海,107
BEC,谷气盛,108
BEC,血海满,109
SYM,月事以时下,110
DIS,妇人月水,111
MER,四经,112
MER,冲任,113
MER,手太阳小肠,114
MER,手少阴心,115
MER,冲,116
CON,血海,117
MER,任,118
VIS,胞胎,119
BEC,相资,120
DIS,有子,121
MER,小肠经,122
VIS,腑,123
BDP,表,124
CON,阳,125
VIS,脏,127
BDP,里,128
CON,阴,129
FOO,乳汁,130
DIS,月水,131
MER,冲任督三脉,134
MER,心与小肠二经,135
BEC,月水之源,136
LIT,女子二七而天癸至,137
BEC,天癸,138
BEC,天真之气,139
BEC,壬癸之水,140
BEC,阳水,141
BEC,阴水,142
BDP,女子,143
MER,二脉,148
SYM,经血,149
DIS,月信,150
LIT,女子二七天癸至,151
BEC,阴精,153
VIS,肾,154
BEC,水,155
BEC,先天之气,156
LIT,王冰,157
DIS,月事,158
SYM,血,159
BDP,男子,160
SYM,精,161
BDP,交媾,162
DIS,行经,163
MED,精,164
MED,血,165
LIT,《灵枢》,166
BEC,两神相抟，合而成形，常先身生，是谓精,167
MED,女子之精,168
SYM,月事,169
DIS,天癸,170
FOO,饮食五味,172
BDP,髓骨肌肤毛发,173
CON,男子,174
MED,阳精,177
BEC,阳精升,178
BEC,阳精溢,179
CON,女子,180
MED,阴血,183
BEC,阴血升,184
BEC,阴血溢,185
FOO,五味之实秀,186
DIS,月经不调,187
BEC,七情内伤,188
BEC,六淫外侵,189
BEC,饮食失节,190
BEC,起居不时,191
BEC,脾胃虚损,192
BEC,心火妄动,193
VIS,脾为生化之源,194
VIS,心统诸经之血,195
VIS,心,196
VIS,肝,197
VIS,脾,198
VIS,血生于脾土,199
MED,苦甘之药,200
VIS,补脾和胃,201
FOO,饮食入胃,202
FOO,水谷之精气,203
LIT,经云,204
LIT,东垣,205
SYN,经行之际,206
MED,苦寒辛散之药,207
FOO,饮食,208
VIS,脾胃,209
BDP,血,211
DIS,经水,213
DIS,阴水,214
BEC,火,215
BDP,血海,217
BDP,胞胎,219
BEC,男子媾精,220
BEC,阴阳和合,221
DIS,孕,222
BDP,胎,223
VIS,胃,224
BEC,清纯津液之气,225
VIS,肺,226
