id,from_id,to_id,type
1,1,2,from
2,1,5,from
3,1,6,from
4,7,8,from
5,11,9,from
6,12,10,from
7,13,10,from
8,15,18,from
9,19,15,from
10,23,21,treat
11,24,22,treat
12,25,15,from
13,26,27,perf
14,30,31,perf
15,30,32,from
16,38,41,from
17,39,41,oname
18,38,40,oname
19,44,42,treat
20,45,42,treat
21,48,49,treat
22,50,51,treat
23,49,46,treat
24,51,47,treat
25,52,38,from
26,53,38,from
27,54,38,from
28,43,42,cause
29,56,57,perf
30,59,58,cause
31,57,60,from
32,58,61,from
33,70,64,from
34,69,64,from
35,68,64,from
36,78,74,cause
37,79,80,treat
38,81,82,cause
39,83,86,cause
40,84,85,cause
41,85,86,cause
42,87,85,treat
43,88,81,treat
44,89,90,perf
45,91,90,treat
46,104,106,oname
47,105,106,oname
48,106,107,treat
49,108,107,perf
50,109,107,perf
51,113,111,cause
52,114,111,cause
53,115,111,perf
54,116,111,perf
55,110,111,perf
56,112,111,treat
57,119,120,from
58,125,124,treat
59,128,126,cause
60,129,126,cause
61,130,126,cause
62,131,132,comp
63,133,125,treat
64,134,136,treat
65,135,136,treat
66,139,140,inandex
67,141,142,cause
68,144,145,cause
69,143,146,oname
70,146,147,comp
71,147,143,comp
72,148,149,cause
73,150,148,treat
74,151,152,cause
75,153,151,treat
76,155,156,cause
77,155,157,cause
78,155,158,cause
79,155,159,cause
80,155,160,cause
81,155,161,cause
82,155,162,cause
83,163,164,cause
84,165,164,treat
85,166,164,treat
86,167,164,treat
87,168,164,treat
88,169,164,perf
89,170,164,perf
90,171,164,perf
91,172,169,treat
92,172,170,treat
93,173,172,comp
94,176,164,treat
95,177,179,cause
96,178,179,cause
97,180,182,assist_diag
98,181,182,assist_diag
99,183,193,perf
100,184,193,perf
101,185,193,perf
102,186,187,pulse_diagnosis
103,188,187,pulse_diagnosis
104,189,190,cause
105,190,182,cause
106,190,183,cause
107,191,192,oname
108,191,193,reflect
109,192,193,reflect
110,194,195,treat
111,194,196,treat
112,194,197,treat
113,198,194,comp
114,199,194,comp
115,200,194,comp
116,201,194,comp
117,202,194,comp
118,203,194,comp
119,204,194,comp
120,205,194,treat
121,206,207,treat
122,206,208,treat
123,206,209,treat
124,206,210,treat
125,211,206,comp
126,212,206,comp
127,213,206,comp
128,214,206,comp
129,215,206,comp
130,216,206,comp
131,217,206,comp
132,218,206,comp
133,219,206,comp
134,220,206,comp
135,221,206,treat
136,222,223,treat
137,222,224,treat
138,222,225,treat
139,222,226,treat
140,227,222,comp
141,228,222,comp
142,229,222,comp
143,230,222,comp
144,231,222,comp
145,232,222,comp
146,233,222,comp
147,234,222,comp
148,235,222,comp
149,236,237,treat
150,236,238,treat
151,236,239,treat
152,236,240,treat
153,236,241,treat
154,242,236,comp
155,237,243,cause
156,258,244,treat
157,258,245,treat
158,258,246,treat
159,258,247,treat
160,258,248,treat
161,258,249,treat
162,258,250,treat
163,258,251,treat
164,258,252,treat
165,258,253,treat
166,254,258,comp
167,256,258,comp
168,257,258,comp
169,267,261,treat
170,267,262,treat
171,267,263,treat
172,267,264,treat
173,267,265,treat
174,267,266,treat
175,268,267,comp
176,269,267,comp
177,270,267,comp
178,271,267,comp
179,273,274,treat
180,273,275,treat
181,276,277,mapped_part
182,272,267,treat
183,278,289,comp
184,279,289,comp
185,280,289,comp
186,281,289,comp
187,282,289,comp
188,283,289,comp
189,284,289,comp
190,285,289,comp
191,286,289,comp
192,287,289,comp
193,288,289,comp
194,289,290,treat
195,289,291,treat
196,289,292,treat
197,289,293,treat
198,298,296,treat
199,299,296,treat
200,308,295,cause
201,310,309,cause
202,311,312,cause
203,312,313,cause
204,313,314,cause
205,305,302,mapped_part
206,306,302,mapped_part
207,301,302,mapped_part
208,300,304,perf
209,295,296,perf
210,293,292,perf
211,315,322,treat
212,315,323,treat
213,316,315,treat
214,318,315,treat
215,320,315,treat
216,316,356,comp
217,318,356,comp
218,320,356,comp
219,322,329,perf
220,323,328,perf
221,327,328,cause
222,327,329,cause
