id,from_id,to_id,type,from_label,from_entity,from_modified,to_label,to_entity,to_modified
1,3,4,from,MER,少阳,0,LIT,素问·阴阳类论,0
2,3,5,from,MER,少阳,0,LIT,素问·经脉别论,0
3,3,6,from,MER,少阳,0,LIT,素问·阴阳离合论,0
4,7,8,from,MER,厥阴,0,LIT,素问·经脉别论,0
5,7,6,from,MER,厥阴,0,LIT,素问·阴阳离合论,0
6,18,17,from,MED,水八角,0,LIT,四川中药志,0
7,19,18,oname,MED,一口血,0,MED,水八角,0
8,20,17,from,MED,草血竭,0,LIT,四川中药志,0
9,25,22,comp,MED,巴豆,0,PRE,一上散,0
10,23,22,comp,MED,生半夏,0,PRE,一上散,0
11,24,22,comp,MED,雄黄,0,PRE,一上散,0
12,22,21,from,PRE,一上散,0,LIT,洁古家珍,0
13,22,26,treat,PRE,一上散,0,DIS,蝎鳌痛,0
14,52,53,from,MED,一文钱,0,LIT,云南中草药,0
15,52,51,oname,MED,一文钱,0,MED,地不容,0
16,54,56,from,MED,一见消,0,LIT,海南岛常用中草药手册,0
17,54,55,oname,MED,一见消,0,MED,白花丹,0
18,57,62,from,MED,一见喜,0,LIT,泉州本草,0
19,57,61,oname,MED,一见喜,0,MED,穿心莲,0
20,59,64,from,MED,一支箭,0,LIT,贵州民间方药集,0
21,58,63,oname,MED,一匹绸,0,MED,白鹤藤,0
22,59,65,oname,MED,一支箭,0,MED,瓶尔小草,0
23,60,66,from,SYN,一片被,0,LIT,延龄堂喉科,0
24,68,69,from,MED,一包针,0,LIT,中药志,0
25,68,67,oname,MED,一包针,0,MED,千年健,0
26,74,76,oname,MED,一叶荻,0,MED,花扫条,0
27,74,75,from,MED,一叶荻,0,LIT,浙江夭目山药用植物志,0
28,74,77,oname,MED,一叶荻,0,MED,山帚条,0
29,74,78,oname,MED,一叶荻,0,MED,小粒篙,0
30,74,79,oname,MED,一叶荻,0,MED,八颗叶下珠,0
31,76,77,oname,MED,花扫条,0,MED,山帚条,0
32,76,78,oname,MED,花扫条,0,MED,小粒篙,0
33,76,79,oname,MED,花扫条,0,MED,八颗叶下珠,0
34,77,78,oname,MED,山帚条,0,MED,小粒篙,0
35,77,79,oname,MED,山帚条,0,MED,八颗叶下珠,0
36,78,79,oname,MED,小粒篙,0,MED,八颗叶下珠,0
37,74,80,treat,MED,一叶荻,0,SYM,四肢麻木,0
38,74,81,treat,MED,一叶荻,0,DIS,偏瘫,0
39,74,82,treat,MED,一叶荻,0,DIS,面神经麻痹,0
40,74,83,treat,MED,一叶荻,0,DIS,小儿麻痹后遗症,0
41,74,84,treat,MED,一叶荻,0,DIS,风湿腰痛,0
42,74,85,treat,MED,一叶荻,0,SYM,眩晕,0
43,74,86,treat,MED,一叶荻,0,DIS,耳聋,0
44,74,87,treat,MED,一叶荻,0,DIS,阳赓,0
45,74,88,treat,MED,一叶荻,0,DIS,嗜睡症,0
46,89,90,from,PRE,一甲煎,0,LIT,温病条辨,0
47,91,89,comp,MED,生牡砺,0,PRE,一甲煎,0
48,89,92,treat,PRE,一甲煎,0,SYN,温病下后,0
49,89,93,treat,PRE,一甲煎,0,SYN,大便澹甚,0
50,94,95,oname,MED,一朵云,0,MED,阴地旅,1
51,94,96,from,MED,一朵云,0,LIT,天宝本草,0
52,97,99,oname,MED,一扫光,0,MED,干里光,0
53,97,98,from,MED,一扫光,0,LIT,分类草药性,0
54,100,102,oname,MED,一帆青,0,MED,蜘蛛抱蛋,0
55,100,101,from,MED,一帆青,0,LIT,质问本草,0
56,103,104,from,PRE,一字散,0,LIT,杨氏家藏方,0
57,105,103,comp,MED,乳香,0,PRE,一字散,0
58,106,103,comp,MED,延胡索,0,PRE,一字散,0
59,107,103,comp,MED,盆硝,0,PRE,一字散,0
60,108,103,comp,MED,川芍,0,PRE,一字散,0
61,24,103,comp,MED,雄黄,0,PRE,一字散,0
62,103,109,treat,PRE,一字散,0,DIS,偏头风,0
63,116,117,oname,MED,一年蓬,0,MED,野篙,0
64,116,118,from,MED,一年蓬,0,LIT,浙江民间常用草药,0
65,116,119,treat,MED,一年蓬,0,DIS,疟草,0
66,116,120,treat,MED,一年蓬,0,DIS,牙肿消,0
67,128,129,from,PRE,一阴煎,0,LIT,景岳全书·新方八阵,0
68,130,128,comp,MED,生地黄,0,PRE,一阴煎,0
69,131,128,comp,MED,芍药,0,PRE,一阴煎,0
70,132,128,comp,MED,麦门冬,0,PRE,一阴煎,0
71,133,128,comp,MED,丹参,0,PRE,一阴煎,0
72,134,128,comp,MED,熟地黄,0,PRE,一阴煎,0
73,135,128,comp,MED,牛膝,0,PRE,一阴煎,0
74,136,128,comp,MED,甘草,0,PRE,一阴煎,0
75,128,137,treat,PRE,一阴煎,0,SYN,肾水真阴虚损,0
76,128,138,treat,PRE,一阴煎,0,SIG,脉证多阳,0
77,128,139,treat,PRE,一阴煎,0,SYM,虚火发热,0
