Label,Entity Text,ID
LIT,难经集注,1
oname,王九思,2
oname,明,3
oname,公元1505年,4
LIT,黄帝八十一难经,5
oname,勃海秦越人,6
oname,桑君,7
oname,扁鹊,8
oname,轩辕,9
oname,卢国,10
oname,卢医,11
oname,卢扁,12
oname,黄帝,13
LIT,内经,14
LIT,八十一难,15
DIS,吕广,16
LIT,杨元操序,17
DIS,皇甫元晏,18
DIS,华阳陶贞白,19
MER,十二经,20
MER,手足经十二脉,21
MER,三阴三阳,22
MER,天地三阴三阳,23
MER,天之三阳,24
BDP,夏至,25
MER,天之三阴,26
BDP,秋分,27
MER,地之三阴,28
BDP,冬至,29
MER,地之三阳,30
BDP,膈,31
MER,手三阴三阳,32
BEC,天气,33
MER,足三阴三阳,34
BEC,地气,35
BEC,气,36
MER,脉,37
BEC,阴阳,39
BEC,气血,40
LIT,黄帝,41
DIS,百病,43
SIG,死生,44
BDP,两手三部,45
PUL,动脉,46
BDP,左手寸部,47
VIS,心,48
VIS,小肠,49
MER,手少阴,51
MER,心包络脉,52
VIS,心包,53
BDP,右尺,54
MER,小肠脉,55
MER,手太阳,56
BEC,东南方君火,57
BEC,巽,58
BDP,左手关部,59
VIS,肝,60
VIS,胆,61
MER,肝脉,63
MER,足厥阴,64
MER,胆脉,65
MER,足少阳,66
BEC,东方木,67
BEC,震,68
BDP,左手尺部,69
VIS,肾,70
VIS,膀胱,71
MER,肾脉,73
MER,足少阴,74
MER,膀胱脉,75
MER,足太阳,76
BEC,北方水,77
BEC,坎,78
BDP,右手寸部,79
VIS,肺,80
VIS,大肠,81
MER,肺脉,83
MER,手太阴,84
MER,大肠脉,85
MER,手阳明,86
BEC,西方金,87
BEC,兑,88
BDP,右手关部,89
PUL,脾胃动脉,90
MER,脾脉,91
MER,足太阴,92
MER,胃脉,93
MER,足阳明,94
BEC,中央土,95
BEC,坤,96
BDP,右手尺部,97
VIS,心包络,98
PUL,三焦动脉,99
MER,手厥阴,101
MER,三焦脉,102
MER,手少阳,103
BEC,南方相火,104
BEC,离,105
PUL,三部动脉,106
BDP,两手足,107
MER,三阴脉,108
MER,三阳脉,109
MER,十二经脉,110
VIS,心脉,125
MER,包络脉,131
MER,六阴,135
MER,六阳,136
ACU,委中,138
BDP,耳前,140
ACU,下关穴,141
ACU,悬钟,142
BDP,趺上,144
ACU,冲阳,145
BDP,足趺上,146
ACU,人迎,147
ACU,大迎,148
BDP,目外,150
ACU,瞳子,151
ACU,客主人,153
ACU,听会,154
BDP,口边,156
ACU,地仓,157
ACU,阳溪,158
MER,足阳明脉,161
VIS,五脏,162
BDP,回骨,163
BDP,内踝下,165
ACU,太溪,166
MER,冲脉,167
MER,少阴,168
BDP,内踝上五寸间,169
BDP,髀上,171
ACU,箕门,172
BDP,腋下,174
ACU,极泉,175
ACU,灵道,176
ACU,少海,177
BDP,手心,178
ACU,劳宫,179
MER,手太阴脉,180
ACU,大渊,181
ACU,尺泽,182
ACU,天府,183
BDP,两手掌后鱼际间,185
VIS,太阴,187
BDP,寸口,190
BDP,三部,191
BDP,寸、尺、关,192
VIS,五脏六腑,193
SYN,虚实冷热,194
PUL,阳,195
PUL,阴,196
BDP,两手,197
BDP,六部,198
PUL,察阳者,200
PUL,察阴者,201
PUL,上下左右长短浮沉滑涩迟数,205
LIT,黄帝脉要精微论,206
BEC,越人,207
BEC,平旦,208
BEC,阴气未动,209
BEC,阳气未散,210
BEC,饮食未进,211
BEC,经脉未盛,212
BEC,络脉调匀,213
BEC,气血未乱,214
ACU,寸口,216
ACU,脉之大会,217
MER,手太阴之脉,218
VIS,诸脏,220
CON,阴阳,221
ACU,手太阴寸口,223
PUL,浮沉滑涩,226
BEC,春秋逆顺,227
SYN,华盖,233
BDP,气口,234
SYN,大会,235
FOO,五味,236
VIS,胃,237
BEC,五气,238
FOO,甘,239
FOO,辛,240
FOO,咸,241
FOO,苦,242
FOO,酸,243
BEC,膻,244
BEC,腥,245
BEC,香,246
BEC,焦,247
BEC,腐,248
BEC,五行,249
FOO,味,250
MER,太阴,253
CON,中和,257
BEC,不化气,258
PUL,浮,261
PUL,沉,262
PUL,长,263
PUL,短,264
PUL,滑,265
PUL,涩,266
DIS,病,267
VIS,何脏,268
LIT,经云,269
SYN,寸口者。脉之大要会也,270
LIT,五脏别论,271
BEC,五脏气,274
LIT,本经,275
BEC,人受气于谷,276
LIT,玉机真藏论,277
BEC,胃气,278
LIT,阴阳应象论,280
BEC,形,282
BEC,精,284
BEC,化,285
BEC,人之气,286
SYN,要会,290
MER,十五络,293
BEC,二十七气,294
BDP,呼吸,295
BDP,呼,296
BDP,吸,297
BDP,寤,298
BDP,寐,299
BDP,身,300
VIS,脏,301
BEC,天地阴阳升降,302
BEC,六气,303
BDP,一日一夜,304
BDP,一万三千五百息,305
BDP,五十度,306
BDP,百刻,307
BEC,荣卫,308
BDP,阳,309
BDP,阴,310
BDP,一周,311
BDP,一息,314
BDP,十息,315
BDP,百息,316
BDP,千息,317
BDP,万息,318
MER,阳脉,319
MER,阴脉,320
BEC,阴阳呼吸,321
BDP,立春,324
VIS,中焦,325
BDP,经络,327
