id,from_id,to_id,type
1,10,3,from
2,10,4,from
3,11,5,from
4,11,6,from
5,11,7,from
6,11,8,from
7,12,9,from
8,13,1,cause
9,3,17,assist_diag
10,4,17,assist_diag
11,15,18,perf
12,16,19,perf
13,9,2,assist_diag
14,21,20,assist_diag
15,27,21,mapped_part
16,28,21,mapped_part
17,29,21,mapped_part
18,31,30,inandex
19,32,33,reflect
20,34,36,cause
21,35,36,cause
22,37,38,perf
23,37,39,perf
24,37,40,perf
25,37,41,perf
26,42,43,perf
27,42,44,perf
28,45,37,abpulse
29,43,42,assist_diag
30,46,47,perf
31,47,48,guide_pre
32,49,50,guide_pre
33,51,52,guide_pre
34,51,53,guide_pre
35,55,56,reflect
36,56,57,cause
37,56,58,perf
38,56,59,perf
39,56,60,perf
40,61,62,guide_pre
41,61,63,guide_pre
42,64,65,assist_diag
43,66,67,cause
44,67,68,perf
45,69,70,guide_pre
46,71,72,reflect
47,73,74,related
48,75,76,perf
49,77,74,abpulse
50,79,80,reflect
51,81,82,cause
52,82,83,perf
53,84,85,cause
54,85,86,cause
55,86,87,perf
56,86,88,perf
57,86,89,perf
58,90,86,reflect
59,91,86,reflect
60,92,93,comp
61,94,95,related
62,94,96,assist_diag
63,98,100,guide_pre
64,99,100,perf
65,104,106,treat
66,105,106,treat
67,107,110,assist_diag
68,108,110,assist_diag
69,109,110,assist_diag
70,111,110,treat
71,112,113,treat
72,114,115,assist_diag
73,114,116,assist_diag
74,117,118,cause
75,118,114,cause
76,125,126,assist_diag
77,126,127,perf
78,126,128,perf
79,126,129,perf
80,130,131,guide_pre
81,131,130,treat
82,132,133,assist_diag
83,133,134,perf
84,135,136,comp
85,135,134,treat
86,136,134,treat
87,137,138,mapped_part
88,138,139,reflect
89,138,140,perf
90,141,140,treat
91,142,143,cause
92,142,144,cause
93,145,146,mapped_part
94,146,147,assist_diag
95,148,147,treat
96,149,148,comp
97,150,148,comp
98,151,152,treat
99,153,154,treat
100,155,156,assist_diag
101,156,157,perf
102,156,158,perf
103,156,159,perf
104,160,155,cause
105,161,162,comp
106,163,164,perf
107,165,166,comp
108,167,168,perf
109,167,169,perf
110,170,167,reflect
111,171,172,comp
112,173,174,assist_diag
113,174,175,mapped_part
114,175,176,perf
115,177,178,perf
116,173,179,perf
117,180,181,cause
118,181,182,cause
119,182,183,cause
120,184,173,reflect
121,185,186,comp
122,187,188,perf
123,187,189,perf
124,190,187,reflect
125,192,193,cause
126,195,194,guide_pre
127,199,200,assist_diag
128,201,202,mapped_part
129,203,204,cause
130,204,203,reflect
131,205,206,perf
132,207,208,perf
133,209,210,guide_pre
134,214,215,cause
135,216,217,cause
136,216,218,cause
137,219,220,treat
138,221,223,cause
139,223,224,perf
140,225,226,reflect
141,225,226,assist_diag
142,228,229,treat
143,230,231,perf
144,232,233,perf
145,234,235,oname
146,235,236,reflect
147,235,237,reflect
148,239,238,perf
149,240,239,treat
150,241,242,perf
151,244,245,perf
152,247,248,assist_diag
153,250,252,reflect
154,251,252,reflect
155,253,254,related
156,256,257,assist_diag
157,262,261,treat
158,263,264,assist_diag
159,263,265,assist_diag
160,266,265,reflect
161,267,268,guide_pre
162,271,272,perf
163,271,273,perf
164,271,274,perf
165,271,275,perf
166,271,276,perf
167,277,271,treat
168,278,279,assist_diag
169,279,280,perf
170,279,281,perf
171,279,282,perf
172,283,279,treat
173,285,286,reflect
174,285,287,reflect
175,288,290,reflect
176,288,291,reflect
177,293,288,cause
178,292,293,cause
179,294,295,comp
180,295,288,treat
181,296,297,reflect
182,296,298,perf
183,296,299,perf
184,296,300,perf
185,302,296,treat
186,303,304,assist_diag
187,303,305,mapped_part
188,303,306,guide_pre
189,306,304,treat
190,308,307,treat
191,309,307,treat
192,310,307,treat
193,312,311,treat
194,313,314,perf
195,313,315,assist_diag
196,313,316,related
197,313,317,assist_diag
198,318,313,reflect
199,319,313,reflect
200,323,317,perf
201,324,317,perf
202,325,317,perf
203,326,317,perf
204,327,317,perf
205,328,317,perf
206,329,330,cause
207,331,332,cause
208,333,334,cause
209,333,330,cause
210,335,333,perf
211,336,333,perf
212,337,330,treat
213,338,334,treat
214,339,330,treat
215,340,332,perf
216,341,340,treat
217,343,331,treat
218,345,331,treat
219,347,346,Food_to_avoid
220,348,317,pulse_diagnosis
221,349,350,treat
222,351,352,perf
223,353,354,assist_diag
224,356,357,reflect
225,356,359,guide_pre
226,356,358,mapped_part
227,361,362,assist_diag
228,364,365,reflect
229,364,366,reflect
230,364,367,guide_pre
231,368,369,treat
232,371,372,reflect
233,371,373,guide_pre
234,371,374,perf
235,371,375,perf
236,377,378,assist_diag
237,377,380,guide_pre
238,377,381,perf
239,377,382,perf
240,383,384,perf
241,383,385,perf
242,383,386,perf
243,383,387,guide_pre
244,387,387,treat
245,383,388,perf
246,383,389,perf
247,383,390,perf
248,383,391,perf
249,383,392,perf
250,383,393,perf
251,394,395,reflect
252,394,396,reflect
253,394,397,assist_diag
254,394,398,perf
255,394,399,perf
256,394,400,perf
257,394,401,perf
258,394,402,guide_pre
259,402,401,treat
260,394,403,perf
261,394,404,perf
262,394,405,perf
263,406,407,oname
264,406,408,reflect
265,406,409,reflect
266,406,410,perf
267,406,411,perf
268,406,412,guide_pre
269,412,410,treat
270,406,413,perf
271,406,414,guide_pre
272,414,413,treat
273,406,415,perf
274,415,416,cause
275,406,417,guide_pre
276,417,416,treat
277,406,418,assist_diag
278,406,419,guide_pre
279,419,418,treat
280,420,421,oname
281,422,423,cause
282,424,423,treat
283,425,427,perf
284,426,427,perf
285,428,427,treat
286,430,431,oname
287,431,432,assist_diag
288,431,433,perf
289,431,434,perf
290,431,435,perf
291,431,436,guide_pre
292,438,439,oname
293,439,440,reflect
294,439,441,mapped_part
295,439,442,assist_diag
296,439,443,guide_pre
297,445,446,oname
298,446,447,reflect
299,448,449,oname
300,449,450,reflect
301,449,451,reflect
302,449,452,guide_pre
303,454,455,reflect
304,454,457,perf
305,454,458,perf
306,454,459,perf
307,460,455,treat
308,463,462,treat
309,464,463,comp
310,465,463,comp
311,466,463,comp
312,467,469,related
313,467,470,assist_diag
314,471,472,treat
315,473,474,treat
316,475,477,treat
317,476,477,treat
318,478,480,perf
319,478,481,perf
320,482,483,comp
321,483,482,comp
322,484,487,cause
323,485,487,cause
324,486,487,cause
325,488,487,treat
326,489,493,reflect
327,489,498,assist_diag
328,494,498,perf
329,495,498,perf
330,496,498,perf
331,497,498,perf
332,500,501,guide_pre
333,502,503,perf
