Label,Entity Text,ID
LIT,黄帝内经素问,1
作者,王冰次,2
朝代,唐,3
年份,公元762年,4
篇名,序,5
DIS,西汉,6
DIS,东汉,7
DIS,晋,8
DIS,隋,9
DIS,唐,10
DIS,嘉,11
DIS,仁宗,12
LIT,仓公,13
LIT,仲景,14
LIT,甲乙,15
LIT,太素,16
LIT,全元起,17
LIT,第七一通,18
LIT,宝应,19
LIT,王冰,20
LIT,次注,21
LIT,三皇遗文,22
LIT,唐令,23
LIT,医学,24
LIT,执技之流,25
LIT,荐绅先生,26
LIT,圣祖,27
DIS,皇帝,28
BEC,和气,29
DIS,灾害,30
BDP,民,31
DIS,寿域,32
LIT,汉唐书录,33
LIT,古医经,34
LIT,素问,35
LIT,灵枢,36
LIT,伤寒论,37
LIT,三坟,38
LIT,《黄帝内经》,39
LIT,《素问》,40
LIT,《灵枢》,41
LIT,《经合》,42
LIT,《方宜》,43
LIT,《咳篇》,44
LIT,《虚实》,45
LIT,《逆从》,46
LIT,《皮部》,47
LIT,《经络》,48
LIT,《至教》,49
BDP,先生郭子,50
BDP,先师张公,51
LIT,秘本,52
LIT,文本,53
LIT,八十一篇,54
LIT,二十四卷,55
LIT,大唐宝应元年岁次壬寅,56
LIT,黄帝,57
LIT,上古天真论篇第一,58
SYM,半百而衰,60
BEC,虚邪贼风,61
BEC,真气从之,62
BEC,精神内守,63
DIS,病安从来,64
CON,志闲而少欲,65
CON,心安而不惧,66
BDP,形劳而不倦,67
BEC,气从以顺,68
SYM,嗜欲不能劳其目,69
SYM,淫邪不能惑其心,70
CON,合于道,71
SYM,年皆度百岁而动作不衰,72
CON,德全不危,73
SYM,人年老而无子,74
BEC,材力尽,75
BEC,天数然,76
CON,女子七岁,77
VIS,肾气盛,78
SYM,齿更发长,79
CON,二七,80
BEC,天癸至,81
MER,任脉通,82
MER,太冲脉盛,83
SIG,月事以时下,84
DIS,有子,85
CON,三七,86
BEC,肾气平均,87
SIG,真牙生而长极,88
CON,四七,89
SIG,筋骨坚,90
SIG,发长极,91
SYM,身体盛壮,92
CON,五七,93
BEC,阳明脉衰,94
SYM,面始焦,95
SYM,发始堕,96
CON,六七,97
BEC,三阳脉衰于上,98
SYM,面皆焦,99
SYM,发始白,100
CON,七七,101
BEC,任脉虚,102
BEC,太冲脉衰少,103
BEC,天癸竭,104
BEC,地道不通,105
DIS,形坏而无子,106
CON,丈夫八岁,107
BEC,肾气实,108
SIG,发长齿更,109
CON,二八,110
BEC,肾气盛,111
SIG,精气溢泻,113
BEC,阴阳和,114
CON,三八,116
SIG,筋骨劲强,118
CON,四八,120
SIG,筋骨隆盛,121
SIG,肌肉满壮,122
CON,五八,123
BEC,肾气衰,124
SYM,发堕齿槁,125
CON,六八,126
BEC,阳气衰竭于上,127
SYM,面焦,128
SYM,发鬓颁白,129
CON,七八,130
BEC,肝气衰,131
SYM,筋不能动,132
SYM,精少,134
BEC,肾脏衰,135
SYM,形体皆极,136
CON,八八,137
SYM,齿发去,138
VIS,肾,139
BEC,主水,140
VIS,五脏六腑,141
VIS,五脏,142
BEC,五脏皆衰,143
SYM,筋骨解堕,144
BEC,天癸尽矣,145
SYM,发鬓白,146
SYM,身体重,147
SYM,行步不正,148
BEC,天寿过度,149
BEC,气脉常通,150
BEC,肾气有余,151
BEC,天地之精气皆竭,154
CON,道者,155
BEC,却老而全角,156
CON,真人,157
BEC,提挈天地,158
BEC,把握阴阳,159
BEC,呼吸精气,160
BEC,独立守神,161
BEC,肌肉若一,162
BEC,寿敝天地,163
CON,至人,164
BEC,淳德全道,165
BEC,和于阴阳,166
BEC,调于四时,167
BEC,去世离俗,168
BEC,积精全神,169
BEC,游行天地之间,170
BEC,视听八达之外,171
BEC,益其寿命而强者,172
DIS,春三月,174
DIS,发陈,175
BEC,天地俱生,176
BEC,万物以荣,177
SIG,夜卧早起,178
SIG,广步于庭,179
SIG,被发缓形,180
SYM,志生,181
SYN,生而勿杀,182
SYN,予而勿夺,183
SYN,赏而勿罚,184
DIS,春气,185
DIS,养生之道,186
BEC,逆之,187
DIS,伤肝,188
DIS,夏为寒变,189
BEC,奉长者少,190
VIS,肝,191
LIT,卷第一,192
LIT,四气调神大论篇第二,193
CON,夏三月,194
CON,蕃秀,195
BEC,天地气交,196
BEC,万物华实,197
CON,夜卧早起,198
CON,无厌于日,199
SYM,志无怒,200
SYM,华英成秀,201
SYM,气得泄,202
SYM,所爱在外,203
CON,夏气,204
CON,养长之道,205
DIS,伤心,207
VIS,心,208
DIS,秋为疟,209
DIS,疟,210
BEC,奉收者少,211
DIS,冬至重病,212
DIS,重病,213
CON,秋三月,214
CON,容平,215
BEC,天气以急,216
BEC,地气以明,217
CON,早卧早起,218
CON,与鸡俱兴,219
SYM,志安宁,220
BEC,缓秋刑,221
SYM,收敛神气,222
SYM,秋气平,223
SYM,无外其志,224
SYM,肺气清,225
CON,秋气,226
CON,养收之道,227
DIS,伤肺,229
VIS,肺,230
DIS,冬为飧泄,231
DIS,飧泄,232
BEC,奉藏者少,233
CON,冬三月,234
CON,闭藏,235
BEC,水冰地坼,236
BEC,无扰乎阳,237
CON,早卧晚起,238
CON,必待日光,239
SYM,志若伏若匿,240
SYM,若有私意,241
SYM,若已有得,242
CON,去寒就温,243
BEC,无泄皮肤,244
SYM,使气亟夺,245
CON,冬气,246
CON,养藏之道,247
DIS,伤肾,249
DIS,春为痿厥,251
DIS,痿厥,252
BEC,奉生者少,253
BEC,天气,254
CON,清净光明,255
BEC,藏德不止,256
SYM,不下,257
BEC,阳气者闭塞,258
BEC,地气者冒明,259
BEC,云雾不精,260
BEC,白露不下,261
BEC,交通不表,262
BEC,恶气不发,263
BEC,风雨不节,264
BEC,贼风数至,265
BEC,豪雨数起,266
BEC,四时阴阳,267
BEC,逆春气,268
SYN,少阳不生,269
SYM,肝气内变,270
BEC,逆夏气,271
SYN,太阳不长,272
SYM,心气内洞,273
BEC,逆秋气,274
SYN,太阴不收,275
SYM,肺气焦满,276
BEC,逆冬气,277
SYN,少阴不藏,278
SYM,肾气独沉,279
VIS,四时阴阳,280
DIS,万物,281
DIS,名木多死,282
DIS,菀槁不荣,283
DIS,未央绝灭,284
DIS,身无奇病,285
BEC,道,290
BEC,阴阳,291
BDP,圣人,292
BDP,愚者,293
DIS,已病,294
DIS,未病,295
DIS,已乱,296
DIS,乱,297
DIS,病,298
MED,药,299
SYM,渴,300
SYM,斗,301
LIT,生气通天论篇第三,302
VIS,黄帝,304
BEC,天,305
BEC,生之本,306
BDP,天地之间,308
BDP,六合之内,309
BEC,气,310
BDP,九州,311
BDP,九窍,312
BDP,十二节,314
BEC,五,316
BEC,三,317
BEC,邪气,318
BEC,寿命之本,319
BEC,苍天之气,320
SYM,清净,321
SYM,志意治,322
SYM,阳气固,323
BEC,贼邪,324
BEC,时之序,325
BDP,精神,327
BDP,神明,329
BDP,肌肉,331
BEC,卫气,332
BEC,自伤,333
BEC,气之削,334
VIS,阳气,335
BEC,寒,336
BEC,暑,337
SYM,汗,338
SYM,烦,339
SYM,喘喝,340
SYM,静,341
SYM,多言,342
SYM,体若燔炭,343
BEC,湿,344
SYM,首如裹,345
BEC,湿热,346
SYM,大筋短,347
SYM,小筋弛长,348
SYM,拘,349
DIS,痿,350
SYM,肿,352
SYM,四维相代,353
BEC,阳气乃竭,354
BEC,烦劳,355
SYM,张,356
BEC,精绝辟积,357
BDP,夏,358
DIS,煎厥,359
SYM,目盲,360
SYM,不可以视,361
SYM,耳闭,362
SYM,不可以听,363
