Label,Entity Text,ID
DIS,伤寒,1
LIT,伊芳尹,2
LIT,仲景,3
LIT,伊芳尹汤液,4
LIT,仲景经络,5
MED,附子,6
MED,硫黄,7
PRE,三黄丸,8
MED,大黄,9
MED,芒硝,10
PRE,金液丹,11
CON,阳,12
CON,阴,13
LIT,类证活人书,14
BEC,无阴则阳无以生,15
BEC,无阳则阴无以化,16
SIG,春时气温,17
FOO,凉,18
SIG,夏月盛热,19
FOO,寒,20
BEC,扶阴气以养阳,21
VIS,阴气在内,22
MED,热药,23
DIS,疟痢,24
DIS,脱血,25
SIG,秋时气凉,26
FOO,温,27
SIG,冬时严寒,28
FOO,热,29
BEC,扶阳气以养阴,30
VIS,阳气在内,31
MED,凉药,32
DIS,吐痢,33
SYM,腹痛,34
BEC,伐本逆根,35
BEC,天地之刚柔,36
BEC,阴阳之逆顺,37
SYN,热证,38
DIS,阳病,39
SYN,冷证,40
DIS,阴病,41
LIT,高若讷,42
LIT,林亿,43
LIT,孙奇,44
LIT,庞安常,45
LIT,活人书,46
LIT,百问,47
BDP,杭州太隐坊,48
LIT,伤寒百问,49
BDP,三茅,50
DIS,杂病,52
LIT,葛稚川,53
LIT,肘后,54
LIT,孙真人,55
LIT,千金,56
LIT,陶隐居,57
LIT,集验,58
LIT,元晏先生,59
LIT,甲乙,60
LIT,长沙太守,61
LIT,华陀,62
LIT,张长沙,63
LIT,伤寒论,64
LIT,金匮玉函,66
DIS,己巳,68
DIS,戊子,69
DIS,太阳痉,71
DIS,阳明烦躁,72
DIS,少阳潮热,73
SYM,汗多,74
SYM,热利,75
SYM,烦躁,76
SYM,潮热,77
SYN,太阳证,79
SYN,阳明证,80
SYN,少阳证,81
SIG,便秘,82
SIG,便利,83
SIG,呕吐,84
BEC,火入于肺,85
BEC,火入于肾,86
BEC,宿食,87
PRE,栀子豆豉汤,88
PRE,大承气汤,89
PRE,羌活汤,90
MED,栀子,91
MED,豆豉,92
MED,石膏,94
MED,滑石,95
ACU,足三里,96
ACU,合谷,97
ACU,百会,98
MER,足太阳膀胱经,99
MER,足阳明胃经,100
VIS,肺,101
VIS,肾,102
VIS,心,103
VIS,肝,104
VIS,脾,105
PUL,浮脉,106
PUL,沉脉,107
PUL,数脉,108
BDP,头,109
BDP,胸,110
BDP,腹,111
BDP,四肢,112
TNG,舌红,113
TNG,苔白,114
TNG,苔黄,115
CON,阳虚,116
CON,阴虚,117
CON,气虚,118
FOO,大米,119
FOO,小米,120
FOO,羊肉,121
LIT,素问,122
LIT,灵枢,123
DIS,张长沙,125
LIT,南阳活人书,126
LIT,大观五年正月日叙,127
LIT,神农尝药,128
LIT,伊芳尹论方,129
MER,太阳,134
MER,少阴,135
MER,厥阴,136
MER,少阳,137
SYM,发热恶寒,138
SYM,头项痛,139
SYM,腰脊强,140
SYM,身热,141
SYM,目疼,142
SYM,鼻干,143
SYM,不得卧,144
MER,太阳经,145
MER,阳明经,147
SYM,胸胁痛,148
SYM,耳聋,149
TNG,口苦,150
TNG,舌干,151
SYM,往来寒热,152
SIG,呕,153
MER,少阳经,154
SYM,腹满,155
SYM,咽干,156
SYM,手足自温,157
SYM,自利不渴,158
SYM,腹满时痛,159
MER,太阴经,160
SYM,引饮恶寒,161
TNG,口燥舌干,162
MER,少阴经,163
SYM,烦满,164
SYM,囊缩,165
MER,厥阴经,166
PUL,切脉,167
BDP,表,168
BDP,里,169
SIG,汗,170
SIG,下,171
LIT,问而知之为中工,172
LIT,切而知之为下工,173
ACU,风府穴,174
ACU,委中穴,175
MER,足太阳膀胱之经,176
VIS,膀胱,178
MER,足少阴,179
MER,足太阳,180
BDP,目内,181
ACU,风府,183
BDP,项,184
BDP,背,185
BDP,身,186
MER,太阳之经,187
BEC,诸阳主气,188
BEC,中寒邪,189
SYM,发热,190
SYM,恶寒,191
BDP,头项腰脊,192
SYM,身体疼,194
PUL,脉尺寸俱浮,196
DIS,太阳经受病,197
LIT,灵枢经,198
MER,足太阳之脉,199
BDP,额,201
BDP,巅,202
BDP,耳上角,203
BDP,脑,205
BDP,肩,207
BDP,脊,208
BDP,腰中,209
BDP,膂,210
BDP,臀,215
BDP,中,216
BDP,内,217
BDP,胛,218
BDP,髀枢,220
BDP,髀,221
BDP,廉,222
BDP,外踝,225
ACU,京骨,226
MER,足阳明经,227
ACU,大迎穴,228
BDP,曲颔前一寸一分骨陷中动脉,229
ACU,承浆穴,230
BDP,唇下陷者中,231
ACU,人迎穴,232
BDP,结喉旁一寸五分动脉应手者,233
ACU,缺盆穴,234
ACU,天盖,235
BDP,肩下横骨陷者中,236
VIS,胃,237
BEC,水谷之海,238
BEC,络脾,240
ACU,伏兔穴,241
BDP,膝上六寸起内,242
BDP,膝盖上七寸,243
ACU,髀关穴,244
BDP,膝上伏兔后交分中,245
ACU,气冲穴,246
BDP,归来下鼠鼷上一寸动脉,247
BDP,阴毛两旁,248
BDP,下膝,249
ACU,三里穴,250
ACU,足三里穴,251
BDP,膝下三寸,252
MER,足阳明胃之经,253
inandex,脾与胃为合,254
MER,足太阴,255
MER,足阳明,256
BDP,鼻,257
BDP,目,258
BDP,咽,259
MER,阳明主肌肉,260
BDP,络于鼻,261
PUL,脉尺寸俱长,266
DIS,阳明经受病,267
MER,足阳明之脉,269
BDP,鼻交頞中,270
MER,太阳之脉,271
BDP,鼻外,272
BDP,上齿中,273
BDP,口,274
BDP,唇,275
ACU,承浆,276
BDP,颐后下廉,277
ACU,大迎,278
ACU,颊车,279
BDP,耳前,280
ACU,客主人,281
BDP,发际,282
BDP,额颅,283
ACU,人迎,284
BDP,喉咙,285
ACU,缺盆,286
VIS,膈,287
BDP,乳内廉,290
BDP,脐,291
ACU,气冲,292
BDP,胃口,293
BDP,腹里,294
ACU,髀关,295
ACU,伏兔,296
BDP,膝膑中,297
BDP,胫外廉,298
BDP,足跗,299
BDP,中趾内间,300
BDP,下廉三寸,301
BDP,中趾外间,302
BDP,跗上,303
BDP,大趾间,304
MER,足少阳经,305
BDP,阴毛两旁动脉应手,307
VIS,胆,308
BDP,肝之短叶间,309
SIG,精汁三合,310
MER,足少阳胆之经,311
MER,足厥阴,314
MER,足少阳,315
BDP,目外,316
BDP,耳,317
BDP,缺盆,318
BDP,胁,319
LIT,黄帝针经,322
BEC,邪在肝,323
SYM,两胁痛,324
DIS,胆胀者,325
SYM,胁下痛,326
SYM,口中苦,327
SYM,善太息,328
SYM,口苦,329
PUL,脉尺寸俱弦,333
DIS,少阳经受病,334
MER,足经少阳之脉,336
BDP,目锐,337
BDP,头角,338
BDP,耳后,339
BDP,颈,340
MER,手少阳,341
BDP,肩上,342
BDP,耳中,344
BDP,目锐后,346
BDP,下,349
MER,足太阴经,350
BDP,舌本,351
BDP,舌根,352
BDP,咽门,353
BDP,上循膝,357
BDP,股内前廉,358
MER,足太阴脾之经,359
CON,三阴之首,360
VIS,脾胃,361
BDP,嗌喉,362
SYM,嗌干,364
PUL,尺寸俱沉细,365
BDP,大趾之端,369
BDP,趾内侧白肉际,370
BDP,核骨,371
BDP,内踝,372
BDP,胫骨,373
BDP,膝股内前廉,375
BDP,膈,379
BDP,舌下,382
MER,足少阴经,385
VIS,肾脏,386
FOO,红豆,387
BDP,膂筋,388
BDP,脂,389
TNG,里白表黑,390
BEC,精,391
MER,足少阴肾之经,392
BDP,小趾之下,393
BDP,足心,394
BDP,跟中,395
BDP,股内后廉,396
BEC,伤寒热气入于脏,402
MER,少阴之经,403
inandex,少阴主肾,404
BEC,肾恶燥,405
SYM,渴,406
SIG,引饮,407
BEC,发汗吐下,408
BEC,脏腑空虚,409
BEC,津液枯竭,410
BEC,肾有余热,411
SYM,口燥,412
PUL,尺寸俱沉,415
DIS,少阴经受病,416
MER,足少阴之脉,418
BDP,小趾,419
ACU,然骨,421
BDP,内廉,425
BDP,胸中,436
MER,足厥阴经,437
BDP,上,438
BDP,上廉,441
BDP,顶上,443
BDP,颃颡,444
BDP,悬雍,445
MER,足厥阴肝之经,448
SYN,厥阴,449
BDP,左足,451
BDP,右足,452
BEC,两阴,453
MER,足厥阴之脉,455
DIS,太阳病,457
SYM,头疼,458
SIG,汗出,460
SYM,恶风,461
PRE,桂枝汤,462
SYM,筋急,466
BDP,舌,467
BDP,卵,468
TNG,唇青,469
TNG,舌卷,470
SIG,卵缩,471
SIG,囊缩,473
PUL,尺寸俱微缓,474
PUL,尺寸脉俱浮,477
PRE,柴胡桂枝汤,478
LIT,正方三十一,479
SYM,头痛,481
SIG,无汗,483
PRE,麻黄汤,485
LIT,正二十,486
PRE,桂枝麻黄各半汤,487
LIT,正二,488
