Label,Entity Text,ID
LIT,素问,1
LIT,黄帝岐伯问答之书,2
LIT,灵兰秘典,3
LIT,五常正大,4
LIT,六元正纪,5
LIT,甲乙,6
LIT,太素,7
LIT,内经,8
LIT,《素问》,9
LIT,《汉志》,10
LIT,阴阳大论,11
DIS,林亿,12
DIS,高若讷,13
LIT,《难经》,14
DIS,秦越人,15
LIT,《黄帝内经》,16
LIT,灵,17
LIT,素,18
DIS,吕博望,19
DIS,王唯一,20
DIS,虞氏,21
DIS,纪齐卿,22
DIS,杨玄操,23
DIS,吕广,24
DIS,王宗正,25
DIS,周仲立,26
DIS,李子野,27
DIS,张洁古,28
LIT,《难经本义》,29
LIT,《子午经》,30
LIT,一卷,31
SIG,针灸,32
LIT,歌诀,33
LIT,扁鹊,34
LIT,《铜人针灸图》,35
LIT,三卷,36
LIT,宋仁宗,37
LIT,王维德,38
BDP,铜人,40
MER,腑脏十二经,41
ACU,俞穴,42
SIG,疗,43
LIT,夏竦,44
LIT,《灵枢》,45
LIT,本输,46
LIT,骨空,47
LIT,《明堂针灸图》,48
LIT,黄帝,50
ACU,人身俞穴,51
SIG,灼灸禁忌,52
LIT,明堂,53
LIT,雷公,54
LIT,《存真图》,56
LIT,晁公,58
LIT,杨介,59
LIT,崇宁,60
BDP,泗州,61
DIS,刑贼,62
BDP,市,63
LIT,李夷行,64
LIT,医,65
LIT,画工,66
BDP,膜,67
VIS,膏肓,68
LIT,图,69
LIT,古书,70
LIT,《欧希范五脏图》,71
BDP,王莽,72
DIS,翟义党王孙庆,73
BDP,太医尚方,74
BDP,巧屠,75
VIS,五脏,76
MED,竹,77
MER,脉,78
DIS,治病,79
LIT,《膏肓灸法》,80
LIT,二卷,81
BDP,清源庄绰季裕,82
LIT,《千金方》,83
LIT,三十卷,84
BDP,唐孙思邈,85
PRE,用药之方,86
PUL,诊脉之诀,87
ACU,针灸之穴,88
BEC,禁忌之法,89
SYN,导引养生,90
CON,人命至重，有贵千金,91
DIS,伤寒,92
LIT,《千金翼方》,93
BDP,孙思邈,95
MED,药录,96
BDP,妇人,97
BDP,小儿,99
SYN,养性,100
FOO,辟谷,101
BDP,退居,102
SYM,补益,103
DIS,杂病,104
DIS,疮痈,105
PUL,色脉,106
ACU,针灸,107
BEC,禁术,108
LIT,《外台秘要》,109
DIS,唐王焘,110
BDP,房陵,111
BDP,大宁郡,112
LIT,《金兰循经》,113
DIS,元翰林学士忽泰必列,114
DIS,光济,115
SYM,大德癸卯,116
BDP,平江郡,117
DIS,文学岩陵邵文龙,118
VIS,脏腑,119
MER,手足三阴,120
MER,三阳,121
MER,十四经络,122
BDP,北方,123
DIS,恒山董氏,124
BDP,吴门,125
LIT,《济生拔萃》,126
SYM,十九卷,127
LIT,《针经节要》,128
LIT,《洁古云岐针法》,129
LIT,《窦氏流注》,130
LIT,《针经摘英》,131
SYM,延佑间,132
DIS,杜思敬,133
LIT,《针经指南》,134
DIS,古肥窦汉卿,135
LIT,《针灸杂说》,137
LIT,《千金》,138
LIT,《资生经》,139
LIT,《铜人》,140
LIT,《明堂》,141
LIT,《外台》,142
LIT,《十四经发挥》,143
DIS,许昌滑寿伯仁,144
DIS,东平高洞阳,145
MER,督,146
MER,任,147
MER,十二经,148
LIT,《神应经》,149
DIS,宏纲陈会,150
LIT,《广爱书》,151
ACU,一百一十九穴,152
ACU,治病要穴,153
LIT,《针灸节要》,154
LIT,《聚英》,155
DIS,四明梅孤高武,156
LIT,《针灸捷要》,157
DIS,燕山廷瑞徐凤,158
LIT,《玄机秘要》,159
DIS,三衢继洲杨济时,160
LIT,《小儿按摩经》,161
DIS,四明陈氏,162
LIT,《古今医统》,163
LIT,《乾坤生意》,164
LIT,《医学入门》,165
LIT,《医经国小》,166
LIT,《针灸大成》,167
DIS,晋阳靳贤,168
BDP,<目录>卷一,169
LIT,针灸直指,170
BDP,<目录>卷一\针灸直指,172
LIT,针灸方宜始论,173
DIS,黄帝,174
DIS,岐伯,175
DIS,东方,176
FOO,鱼盐之地,177
BDP,海滨傍水,178
FOO,其民食鱼而嗜咸,179
FOO,鱼,180
SYM,热中,181
MED,盐,182
BEC,胜血,183
CON,黑色疏理,184
DIS,痈疡,185
PRE,砭石,186
DIS,西方,187
FOO,金玉之域,188
BDP,沙石之处,189
BDP,陵居而多风,190
BEC,水土刚强,191
BDP,不衣而褐荐,192
FOO,华食而脂肥,193
BEC,邪不能伤其形体,194
BEC,病生于内,195
PRE,毒药,196
DIS,北方,197
BDP,天地所闭藏之域,198
BDP,高陵居,199
BEC,风寒冰冽,200
FOO,乐野处而乳食,201
BEC,脏寒,202
DIS,满病,203
BEC,水土弱,204
BEC,雾露之所聚,205
FOO,嗜酸而食,206
CON,致理而赤色,207
DIS,挛痹,208
PRE,微针,209
PRE,九针,210
DIS,南方,211
DIS,痿厥寒热,212
PRE,导引按跷,213
LIT,刺热论,214
DIS,五脏热病,215
DIS,肝热病,216
SYM,小便先黄,217
SYM,腹痛,218
SYM,多卧,219
SYM,身热,220
SYM,狂言及惊,221
SYM,胁满痛,222
SYM,手足躁,223
SYM,不得安卧,224
BEC,庚辛甚,225
SYM,甲乙大汗,226
BEC,气逆,227
BEC,庚辛死,228
MER,足厥阴,229
MER,少阳,230
SYM,头痛员员,231
BDP,脉引冲头,232
DIS,心热病,233
SYM,不乐,234
SYM,热,235
BEC,热争,236
SYM,卒心痛,237
SYM,烦闷善呕,238
SYM,头痛,239
SIG,面赤,240
SIG,无汗,241
BDP,壬癸,242
BDP,丙丁,243
SIG,大汗,244
MER,手少阴,246
MER,太阳,247
MER,少阴心脉,248
MER,太阳小肠脉,249
DIS,脾热病,250
SYM,头重,251
SYM,颊痛,252
SYM,烦心,253
SIG,颜青,254
SIG,欲呕,255
SYM,腰痛,258
SYM,不可用俯仰,259
SIG,腹满,260
SIG,泄,261
SYM,两颔痛,262
BDP,甲乙,263
BDP,戊巳,264
MER,足太阴,268
MER,阳明,269
DIS,肺热病,270
SYM,淅然厥,271
SYM,起毫毛,272
SYM,恶风寒,273
TNG,舌上黄,274
SYM,喘咳,277
SYM,痛走胸膺背,278
SYM,不得太息,279
SYM,头痛不堪,280
SIG,汗出而寒,281
BDP,庚辛,283
MER,手太阴,287
SIG,出血,289
FOO,大豆,290
DIS,肾热病,291
SYM,酸,293
SYM,苦渴,294
SYM,数饮,295
SYM,项痛而强,298
SYM,寒且酸,299
SYM,足下热,300
SYM,不欲言,301
SYM,其逆则项痛员员澹澹然,302
MER,足少阴,308
SIG,诸汗者,310
BEC,至其所胜日汗出也,311
BDP,左颊,313
BDP,颜,315
BDP,鼻,317
BDP,右颊,319
BDP,颐,321
SYN,治未病,322
DIS,热病,323
BDP,部所,324
SIG,大汗之日,325
ACU,刺之,326
SIG,三周而已,327
BEC,反取其气,328
DIS,肝病,329
VIS,脾,330
VIS,肾,332
VIS,心,334
VIS,肺,336
VIS,肝,338
PUL,三阴、三阳之脉状,339
DIS,太阳病,340
BDP,所胜日,342
FOO,寒水,343
SIG,寒衣,345
SIG,居止寒处,346
SYM,身寒,347
SYM,胸胁痛,349
MER,足少阳,351
ACU,五十九刺,353
SYM,手臂痛,355
MER,手阳明,356
MER,太阴,357
SIG,汗出,358
BDP,头首,360
BDP,项,361
BDP,足胫,365
MER,足阳明,366
SYM,汗出,367
SYM,身重,369
SYM,骨痛,370
SYM,耳聋,371
SYM,好瞑,372
SYM,眩冒,376
SIG,胸胁满,378
MER,太阳之脉,381
SIG,色荣颧骨,382
BEC,荣未交,384
SYM,汗,385
BEC,待时,386
MER,厥阴脉,387
DIS,死期不过三日,388
SIG,赤色,390
MER,厥阴,391
PUL,弦脉,392
BEC,士气已败,393
BEC,木复狂行,394
DIS,三日,395
BEC,内连肾,397
MER,少阳之脉,398
SIG,色荣颊前,399
MER,少阴脉,404
ACU,热病气穴,406
ACU,三椎下间,407
BEC,脑中热,408
ACU,四椎下间,409
BEC,鬲中热,410
ACU,五椎下间,411
BEC,肝热,412
ACU,六椎下间,413
