Label,Entity Text,ID
LIT,华佗神方,1
LIT,华佗,2
LIT,汉,3
LIT,孙序,4
BEC,神农尝百草,5
LIT,《灵枢》,6
LIT,《素问》,7
LIT,《本草》,8
LIT,《内经》,9
DIS,大疫,10
LIT,《伤寒论》,11
LIT,《金匮》玉函,12
MED,方药,13
ACU,伤佗,14
SYM,刳肠湔胃,15
MED,法,16
LIT,千金要方,17
LIT,千金翼方,18
BDP,终南山麓,19
LIT,方书,20
ACU,华先生,21
ACU,针灸,22
SYM,洗伐,23
FOO,日用之品,24
PRE,麻沸散,25
LIT,后汉书方术传,27
LIT,孙思邈,28
LIT,永淳元年,29
BDP,终南山,30
DIS,头风,31
DIS,妻疾,32
DIS,诈疾,33
LIT,书,34
PRE,方,35
LIT,原书,36
LIT,书一卷,37
LIT,孙真人,38
LIT,轩岐之术,41
LIT,古方书,42
LIT,壬辰,43
BDP,亳州,44
BDP,姚氏,45
BDP,雨窗,46
BDP,古纸堆,47
PRE,神膏,49
LIT,史策,51
LIT,华佗方书,52
LIT,徐灵胎先生,54
BEC,天地顺则人气泰，天地逆则人气否,57
BEC,寒暄不时,58
SYM,蒸热发,59
SYM,寒生,60
DIS,瘿瘤,61
DIS,痈疽,62
SYM,喘,63
SYM,枯,64
BDP,面部,65
BDP,肢体,66
BDP,四肢,67
VIS,五脏,68
BEC,精气流散,69
BEC,行为营,70
BEC,张为气,71
BEC,发为声,72
BEC,阳施于形,73
BEC,阴慎于精,74
BEC,天地通塞,75
BEC,五纬盈亏,76
BEC,星辰差忒,77
BEC,日月交蚀,78
BEC,彗孛飞走,79
BEC,天地之灾怪,80
BEC,天地之蒸否,81
DIS,阴之病,82
DIS,阳之病,83
BEC,寒邪,84
BEC,热邪,85
BEC,饮食之邪,86
BDP,天地,87
BDP,形体,88
BDP,人,89
BDP,天,90
BDP,地,91
DIS,百病,92
SYN,阴阳,93
VIS,天者，阳之宗,94
VIS,地者，阴之属,95
MED,药,96
ACU,针,97
CON,道,98
CON,事,99
CON,阳,100
CON,阴,101
CON,阳中之阳,103
CON,阴中之阴,104
SYM,多热,105
SYM,多寒,106
BEC,阳务其上,107
BEC,阴务其下,108
BEC,阳行也速,109
BEC,阴行也缓,110
BEC,阳之体轻,111
BEC,阴之体重,112
CON,阴阳平,113
BEC,天地和,114
SYN,人气宁,115
CON,阴阳逆,116
BEC,天地否,117
SYN,人气厥,118
SYM,炎炽,120
SYM,寒凛,122
BDP,子前,123
BDP,午后,124
BEC,秋首养阳,127
BEC,春首养阴,128
BEC,阳勿外闭,129
BEC,阴勿外侵,130
VIS,火,131
VIS,木,132
VIS,水,133
VIS,金,134
BEC,水火通济,135
BEC,上下相寻,136
BEC,举止失宜,137
DIS,自致其罹,138
LIT,金匮,139
BEC,风寒暑湿,140
BEC,饥饱劳役,141
BDP,正体,142
BDP,正神,143
BDP,身,144
PUL,脉有五死,145
CON,气有五生,146
PUL,阴家脉重,147
PUL,阳家脉轻,148
PUL,阳病阴脉,149
PUL,阴病阳脉,150
SYM,阳候多语,151
SYM,阴症无声,152
SYM,多语,153
SYM,无声,154
SYM,阳病则旦静,155
SYM,阴病则夜宁,156
BEC,阴阳运动,157
CON,阳虚,158
SYM,暮乱,159
CON,阴虚,160
SYM,朝争,161
BEC,朝暮交错,162
BEC,其气厥横,163
BEC,死生致理,164
BEC,阴阳中明,165
BEC,阴气下而不上,166
BEC,断络,167
BEC,阳气上而不下,168
BEC,断经,169
BEC,阴中之邪,170
BEC,浊,171
BEC,阳中之邪,172
BEC,清,173
BEC,火来坎户,174
BEC,水到离扃,175
BEC,阴阳相应,176
SYN,和平,177
CON,阴不足,178
MED,水母,179
CON,阳不足,180
MED,火精,181
BEC,阴阳济等,182
BDP,上通三寸,183
BDP,阳之神路,184
BDP,下通三寸,185
BDP,阴之鬼程,186
BEC,阴常宜损,187
BEC,阳常宜盈,188
BDP,居之中者,189
BEC,阴阳匀停,190
BEC,阴中之阴,192
BEC,阴阳,193
BEC,五行,194
BEC,天地,195
BDP,血脉,196
MED,金,198
VIS,肺,199
VIS,肾,200
VIS,肝,201
VIS,心,202
VIS,脾,203
LIT,《金匮至真要论》,205
BDP,血,207
BDP,肉,208
BDP,气,211
BDP,骨,212
BDP,筋,215
DIS,阳厥,221
PUL,举按有力,222
PUL,绝,223
DIS,阴厥,224
BEC,飞霜走雹,225
BEC,朝昏暮霭,226
BEC,云雨飘霪,227
BEC,风露寒冷,228
BEC,当热不热,229
BEC,未寒而寒,230
BEC,时气霖霪,231
BEC,泉生田野,232
BEC,山摧地裂,233
BEC,土坏河溢,234
BEC,日晦月昏,235
DIS,天地之阴厥,236
SYM,暴哑,237
SYM,卒寒,238
SYM,一身拘急,239
SYM,四肢蜷挛,240
SIG,唇青,241
SIG,面黑,242
SIG,目直,243
SIG,口噤,244
SYM,心腹满痛,245
SYM,口颔摇鼓,246
SYM,腰脚沉重,247
SYM,语言謇涩,248
SIG,上吐下泻,249
SYM,左右不仁,250
SIG,大小便活,251
SYM,舌吐酸渌,252
SYM,悲忧惨戚,253
SYM,喜怒无常,254
DIS,此人之阴厥,255
PUL,阴厥之脉,256
PUL,举指弱,257
PUL,按指大,258
PUL,举按俱绝,259
SYM,一身悉冷,260
SIG,额汗自出,261
DIS,阴厥之病,262
BDP,三日,263
SYN,阴阳痞格,264
SYN,痞,266
BEC,阳气下而不上,268
SYN,格,269
BEC,阴气上而不下,270
DIS,痞格,271
BEC,阴阳不相从,272
BEC,阳奔于上,273
BEC,燔脾肺,274
DIS,疽,275
TNG,黄赤,276
BEC,阳极,277
BEC,阴走于下,278
BEC,冰肾肝,279
DIS,厥,280
TNG,青黑,281
BEC,阴极,282
BEC,阴阳痞格不通,283
BEC,阳燔,284
MED,水,285
MED,火,287
SYM,寒热往来,288
BEC,阴阳相胜,289
SYM,先寒后热,291
SYM,先热后寒,293
BEC,上盛,294
SYM,发热,295
BEC,下盛,296
SYM,发寒,297
SIG,皮寒而燥,298
SIG,皮热而燥,300
SIG,皮寒而寒,302
CON,阴盛,303
SIG,皮热而热,304
CON,阳盛,305
SYM,热,306
BEC,阴中之阴邪,307
SYM,寒而颊赤多言,308
BEC,阳中之阴邪,309
SYM,热而面青多言,310
BEC,阴中之阳邪,311
SYM,寒而面青多言,312
SIG,不言,314
DIS,不可治,315
LIT,卷一,318
LIT,一○○七·论寒热,319
DIS,阴病,320
DIS,阳病,321
PUL,数在上,322
SYN,阳中之阳,323
PUL,数在下,324
SYN,阴中之阳,325
PUL,迟在上,326
SYN,阳中之阴,327
PUL,迟在下,328
SYN,阴中之阴,329
PUL,数在中,330
BEC,中热,331
PUL,迟在中,332
BEC,中寒,333
BEC,寒,334
BEC,热,335
CON,阴阳,337
CON,脏虚,338
CON,脏实,339
CON,腑虚,340
CON,腑实,341
CON,上虚,342
CON,下实,343
CON,下虚,344
CON,上实,345
SYM,肠鸣,346
SYM,气走,347
SIG,足冷,348
SIG,手寒,349
SIG,食不入胃,350
SIG,吐逆无时,351
SYM,皮毛憔悴,352
SYM,肌肉皱皴,353
SYM,耳目昏塞,354
SYM,语声破散,355
SYM,行步喘促,356
SYM,精神不收,357
CON,五脏之虚,358
PUL,脉,359
PUL,举指而活,360
PUL,按之而微,361
PUL,沉小弱微短涩软濡,362
CON,虚,364
BEC,饮食过多,365
SIG,大小便难,366
SYM,胸膈满闷,367
SYM,肢节疼痛,368
SYM,身体沉重,369
SYM,头目昏眩,370
SYM,唇舌肿胀,371
SYM,咽喉闭塞,372
SYM,肠中气急,373
SYM,皮肉不仁,374
SYM,暴生喘乏,375
SYM,偶作寒热,376
SYM,疮疽并举,377
SYM,悲喜自来,378
SYM,自痿弱,379
SYM,自高强,380
SYM,气不舒畅,381
SYM,血不流通,382
SYN,此脏之实也,383
PUL,俱盛者实也,385
PUL,长浮数疾,386
PUL,洪紧弦大,387
PUL,俱曰实也,388
SYM,头痛,389
SYM,目赤,390
SYM,皮热骨寒,391
SYM,手足舒缓,392
SYM,血气壅塞,393
SYM,丹瘤更生,394
SYM,咽喉肿痛,395
SYM,轻按则痛,396
SYM,重按则快,397
SYM,饮食如故,398
SYN,腑实,399
PUL,脉浮而实大者,400
SYM,皮肤瘙痒,401
SYM,肌肉胀,402
SYM,食饮不化,403
SIG,大便滑而不止,404
PUL,脉轻按则滑,405
PUL,重按则平,406
SYN,腑虚,407
SYM,胸膈痞满,408
SYM,头目碎痛,409
SYM,饮食不下,410
SYM,脑项昏重,411
SYM,咽喉不利,412
SYM,涕唾稠粘,413
PUL,左右寸口沉结实大者,414
SYN,上实,415
BDP,头,416
BDP,目,417
BDP,胸膈,418
BDP,肢节,419
BDP,身体,420
BDP,唇,421
BDP,舌,422
BDP,咽喉,423
BDP,肠,424
BDP,皮肉,425
BDP,手足,426
BDP,皮肤,427
BDP,肌肉,428
BDP,脑项,429
VIS,脏,430
VIS,腑,431
SYM,颊赤,433
SYM,心怯,434
SYM,举动颤栗,435
SYM,语声嘶嘎,436
SYM,唇焦,437
SYM,口干,438
SYM,喘乏无力,439
SYM,面少颜色,440
SYM,颐颔肿满,441
BDP,左右寸脉,442
PUL,弱而微者,443
SIG,饮食如故,446
SYM,如坐水中,448
SYM,行步艰难,449
SYM,气上奔冲,450
SYM,梦寐危险,451
BDP,左右尺中脉,452
PUL,滑而涩者,453
PUL,脉微涩短小,455
DIS,上下不宁,457
VIS,血,461
VIS,气,463
BEC,脾病,465
SYM,上母不宁,466
SYM,下子不宁,469
SYM,血气俱不宁,472
SYM,无有休息,474
DIS,病如疟,475
CON,土,477
CON,火,479
CON,金,481
LIT,一○○九·论上下不宁,483
BEC,火生土,484
BEC,土生金,485
BDP,母,487
BDP,子,489
DIS,病,491
BEC,脉为气血之先,492
PUL,气血盛则脉盛,493
PUL,气血衰则脉衰,494
PUL,气血热则脉数,495
PUL,气血寒则脉迟,496
PUL,气血微则脉弱,497
PUL,气血平则脉缓,498
PUL,长人脉长,499
PUL,短人脉短,500
PUL,性急则脉急,501
PUL,性缓则脉缓,502
PUL,诸数为热,503
PUL,诸迟为寒,504
PUL,诸紧为痛,505
PUL,诸浮为风,506
PUL,诸滑为虚,507
PUL,诸伏为聚,508
PUL,诸长为实,509
PUL,诸短为虚,510
