Label,Entity Text,ID
DIS,血证,1
SIG,吐血,2
SIG,下血,3
LIT,失血大法,4
LIT,内经,5
LIT,仲景,6
DIS,血疾,8
DIS,失血,9
LIT,光绪十年甲申重九后一日,10
LIT,容川唐宗海自序,11
LIT,内难仲景,12
LIT,素问,13
LIT,灵枢,14
LIT,伤寒论,15
BEC,阴阳,16
BEC,水火,17
BEC,气血,18
BEC,气,19
VIS,水,20
BDP,物,24
BEC,人身之气,26
BDP,脐下丹田气海,27
BDP,脐下,28
VIS,肾,29
VIS,膀胱,30
BEC,天阳,32
BDP,鼻间,33
BDP,肺管,34
BEC,心火,35
VIS,心,36
BDP,脐之下,37
LIT,易,40
LIT,坎卦,41
BEC,一阳生于水中,42
BEC,生气之根,43
MED,卫气,44
VIS,肺,45
SIG,呼吸,46
VIS,五脏六腑,47
SIG,息,48
BEC,一气,49
BEC,水,50
BEC,化水,51
BEC,病气,52
BEC,水阴,53
MER,太阳经脉,54
SIG,汗,55
BDP,皮毛,56
MED,津液,57
BDP,水道,58
SIG,溺,59
BEC,水停不化,60
BEC,太阳之气不达,61
SYM,汗不得出,62
BEC,津液不生,63
DIS,痰饮,64
BEC,制节不行,65
BEC,气不得降,66
SYM,癃闭,67
SYM,滑数,68
CON,肾中阳气,69
BEC,镇水,70
DIS,饮,71
DIS,泻,72
BEC,气与水,73
MED,人参,74
BEC,生于北方水中之阳,75
MED,甘寒滋润,76
SYM,大生津液,77
SYM,津液充足,78
VIS,肺金濡润,79
BDP,气,81
MED,甘寒之阴,83
BEC,阳性,84
BEC,生气化水,85
SYM,补益,86
PRE,小柴胡,87
SYM,上焦得通,89
SYM,津液得下,90
SYM,胃气因和,91
SYM,通津液,92
SYM,和胃气,93
SYM,津液足,94
VIS,胃,95
SYM,肺得润养,97
SIG,其叶下垂,98
SYM,津液又随之而下,99
SIG,雨露之降,100
VIS,五脏戴泽,101
SYM,浊阴全消,102
SYM,亢阳不作,103
SIG,制节五脏,105
CON,水阴不足,106
SYM,津液枯竭,107
SYM,痿咳,108
BEC,无水以济之,109
SIG,闭结,110
BEC,制节不达于下,111
SYM,蒸热,112
BEC,水阴不能濡于肌肤,113
BEC,生水,114
PRE,清燥救肺汤,115
SYM,生津,116
SYM,补肺气,117
PRE,猪苓汤,118
SYM,润利,119
SYM,除痰气,120
PRE,都气丸,121
BEC,补水,122
SYM,益肾气,123
SYM,发汗,124
SYM,调卫气,125
MED,白芍,126
MED,花粉,127
PRE,补中益气汤,128
PRE,六君子,129
PRE,肾气丸,130
MED,陈术,131
MED,苓半,132
MED,桂附,133
MED,苓泽,134
PRE,真武汤,135
PRE,五苓散,136
BEC,水邪,138
VIS,津液,140
BEC,气行,142
BEC,气止,143
BEC,火,144
BEC,化血,145
TNG,血色,146
TNG,火赤,147
VIS,血液,149
BDP,周身,150
CON,阳,151
CON,阴,152
VIS,阴血,153
VIS,肝,155
BDP,血海,156
MER,冲任带三脉,157
BDP,肢体,158
BDP,男子,159
BDP,女子,160
SYM,月事,161
SIG,血下注,162
BEC,下济,164
SYN,血盛,165
SYN,火不亢烈,166
DIS,无病,167
DIS,受胎,168
CON,血虚,169
BEC,肝失所藏,170
BEC,木旺,171
BEC,动火,172
BEC,心失所养,173
BEC,火旺,174
BEC,伤血,175
DIS,血病,176
DIS,火病,177
BEC,大补其血,178
MED,归地,179
BEC,补血,180
BEC,清火,181
VIS,血,183
PRE,四物汤,185
PRE,天王补心丹,187
MED,二冬,188
PRE,归脾汤,189
MED,枣仁,190
PRE,仲景炙甘草汤,191
MED,阿胶,193
PRE,六黄汤,194
PRE,四生丸,195
BEC,火热,196
BEC,火化太过,197
BEC,火化不及,198
MED,桂枝,201
VIS,心火,202
PRE,人参养荣汤,203
MED,远志,204
MED,肉桂,205
DIS,血寒,207
DIS,血痹,208
MED,细辛,210
MED,艾叶,211
MED,干姜,212
VIS,气,217
DIS,水病,219
BDP,气分,223
VIS,阳气,225
VIS,阴,226
BDP,阴分,228
CON,血液不足,229
SYM,汗出过多,232
BEC,下后亡津液,234
BEC,热结膀胱,235
SIG,咳血,240
BEC,痰饮,241
BEC,精竭,243
BEC,水结,244
BEC,痰凝不散,245
CON,失血家,246
DIS,水肿,247
BEC,瘀血化水,248
BDP,下焦,251
VIS,血海,252
BDP,上焦,254
BDP,血脉,258
BDP,躯壳外,259
SYM,汗,260
MER,经脉,263
CON,一阴一阳,264
BEC,火盛,266
CON,水虚,268
VIS,肾水,271
VIS,脾,273
VIS,水火二藏,274
BDP,血,277
BEC,治血,278
MED,大黄,281
VIS,土,284
BEC,地道,285
MED,地黄,286
BEC,生血,287
BEC,脾燥,290
MED,参,291
BEC,运血统血,292
BEC,补脾,293
BEC,治气,296
BEC,食气入胃,299
BEC,脾经化水,300
BEC,下输于肾,301
VIS,肾之阳气,302
BDP,水中,303
BEC,蒸腾而上,304
BEC,清气,305
BEC,津液四布,306
BEC,浊气,307
BEC,水道下行,308
BDP,江河,309
BEC,流其恶,310
BEC,津液上升,311
BEC,土膏脉动,312
BEC,雨露升,313
PRE,六君子汤,316
BEC,和脾利水,317
BEC,调气,318
BEC,扶脾镇水,320
BEC,生气,321
PRE,十枣陷胸等汤,322
BEC,攻脾夺水,323
BEC,通气,324
BEC,补气,326
BEC,水津不灌,327
BEC,壮火食气,328
BEC,滋脾,330
BEC,益气,331
BEC,清脾,333
BEC,和气,334
LIT,李东垣,337
VIS,脾胃,339
BEC,刚燥,340
BEC,脾不制水,341
BEC,燥,342
BEC,脾不升津,343
BEC,滋,344
BEC,水津,348
LIT,朱丹溪,349
BEC,血,350
BEC,寒凉,351
VIS,火脏,352
VIS,土脏,353
BEC,甘缓,354
BEC,和血,357
BEC,主气,359
BEC,主血,361
SYM,血贵,362
SYM,血贱,363
SIG,月信,364
BDP,脐下胞室,372
BDP,丹田,373
BDP,血室,374
MED,肾精,389
SYM,月信,398
BEC,气化,400
BEC,水液,401
SYM,信水,403
SYM,行经,404
SYM,淡色之水,405
VIS,血分,407
BEC,气分,408
BEC,营运,411
MED,精,413
BDP,女子之经,418
SYM,男子精薄,423
DIS,女子经病,425
BEC,气滞,426
SYM,不行经,434
BDP,经血,435
BEC,血之余,436
BEC,新生旧除,437
BEC,天地自然之理,438
SIG,月有盈亏,439
SIG,海有朝汐,440
BDP,女子之血,441
BEC,除旧生新,442
BEC,满则溢,443
BEC,盈必亏之道,444
SYM,行经一度,446
BEC,泄血之余,447
BEC,下行,450
SYM,无经可验,453
BEC,泄其余,454
VIS,阳,456
BEC,上行,457
MER,冲任脉,458
BDP,上绕唇颐,459
BDP,髭须,460
BDP,月信,463
BEC,气血水火,468
BEC,血不循经,469
DIS,崩带,470
DIS,不受胎,471
DIS,吐衄,472
SYM,荣体,473
SIG,调经,474
SIG,调血,475
BDP,下行之血,476
BDP,上行之血,477
SIG,月经,478
DIS,胎产,479
BDP,女子胞中之血,480
BEC,瘀血,481
SYM,吐衄,482
BEC,瘀血不行,483
BEC,新血断无生理,484
BEC,去旧生新,486
DIS,疮科治溃,487
BEC,化腐,488
BEC,生肌,489
BEC,腐肉不化,490
BEC,新血亦断无生理,491
BDP,脓管,492
BEC,烂开腐肉,493
SIG,取去脓管,494
BEC,去瘀,496
BEC,去瘀为生新,498
BEC,生新为去瘀,499
BEC,生血之机,500
BEC,中焦受气取汁,502
BEC,变化而赤,503
MED,血,504
BDP,妇人乳汁,505
FOO,饮食,507
BDP,中焦,508
BDP,汁,510
SIG,月水不行,511
SIG,断乳,512
SIG,催乳,514
VIS,补脾胃,515
BEC,滋血,516
BDP,乳,519
MED,补乳法,520
MED,补血法,521
VIS,调治脾胃,522
CON,阴阳,523
CON,脾阳,525
CON,脾阴,526
FOO,水谷,527
BDP,釜,529
FOO,饭,530
BDP,釜底,531
BDP,釜中,533
FOO,水,534
SYM,脾不思食,535
MED,温药,536
MED,凉药,537
MED,术,539
MED,鹿茸,540
SIG,乳多,541
SIG,乳转少,545
BEC,宜不宜,546
CON,补脾阳,547
MED,附子,549
BEC,生津,550
CON,补脾阴,551
MED,知母,552
MED,石膏,553
VIS,脾阳,555
BEC,补脾阴,556
VIS,脾阴,557
BEC,存津液,559
BEC,胃汁,560
BEC,甜肉汁,561
BEC,苦胆汁,562
VIS,肠胃,563
BEC,汁,564
BEC,津液,565
VIS,脏腑,566
BDP,部分,569
DIS,一脏为病,570
DIS,别脏之病,571
VIS,君主之官,573
VIS,神明,574
BDP,事物,576
BEC,心中之火气,577
BDP,血液,578
BDP,心中一点血液,579
SYM,神明,580
BDP,血中之最精微者,582
BEC,生血之原泉,583
BEC,出神之渊海,584
BEC,血虚,585
SYM,怔忡,586
BEC,火扰其血,589
SYM,懊,590
BEC,神不清明,591
SYM,虚烦不眠,592
SYM,动悸惊惕,593
BEC,水饮克火,594
SYM,心亦动悸,595
BEC,血攻心,596
SYM,昏迷,597
