Label,Entity Text,ID
LIT,针灸逢源,1
FOO,李学川,2
FOO,清・嘉庆二十年,3
FOO,公元1815年,4
LIT,灵素,5
LIT,长沙,6
LIT,河间,7
LIT,东垣,8
LIT,景岳,9
LIT,铜人聚英资生神应针灸之法,10
LIT,灵枢,11
LIT,素问,12
LIT,内经,13
LIT,伤寒方论,15
LIT,甲乙经,16
LIT,汪认庵类纂,18
BEC,营卫血气,19
BEC,阳寒暑之推迁,20
BEC,饮食居处之得失,21
BEC,五运生制之胜复,22
BEC,六气时序之逆顺,23
SIG,脉色,24
BEC,病所由生,25
ACU,针灸,26
ACU,刺风池风府期门,27
ACU,风池,28
ACU,风府,29
ACU,期门,30
ACU,灸少阴厥阴,31
MER,少阴,32
MER,厥阴,33
PRE,方药,34
LIT,医林,35
VIS,脏腑,38
MER,经络,39
BDP,表里,40
LIT,素灵类纂医经,41
LIT,明堂针灸图三卷,42
LIT,黄帝之书,43
LIT,铜人针灸图三卷,44
LIT,资生经,45
LIT,千金,46
LIT,外台,47
LIT,十四经发挥,48
ACU,足三里,49
ACU,合谷,50
ACU,百会,51
MER,十二经,52
MER,任督二脉,53
LIT,针灸大成,54
ACU,铜人经穴,56
CON,小儿体脆神怯肠胃柔弱,57
PRE,推拿,58
PRE,汤液,59
LIT,前书,60
LIT,指归,61
BDP,卷一,62
LIT,灵枢经文,63
LIT,灵枢九针十二原篇,64
BEC,邪气在上,66
BEC,贼风邪气之中人,67
BEC,高而在上,68
BEC,浊气在中,69
FOO,水谷于胃,70
VIS,胃,71
BEC,精气上注于肺,72
VIS,肺,73
BDP,溜于肠胃,74
BEC,寒温不适,75
BEC,饮食不节,76
DIS,病生于肠胃之间,77
BDP,肠胃,78
BEC,清气在下,79
BEC,清湿地气,80
BDP,足,81
ACU,陷脉,82
BEC,邪气,83
BEC,经气,84
BEC,阳邪,85
ACU,中脉,86
BEC,浊气,87
MER,阳明合,88
ACU,足三里穴,89
BEC,肠胃之留滞,90
SIG,太深,92
BEC,邪气反沉,93
DIS,病益,94
BDP,皮肉筋脉,95
SIG,各有所处,96
DIS,病各有所宜,97
MED,九针,98
SYN,无实无虚,99
BEC,损不足而益有余,100
DIS,甚病,101
DIS,病益甚,102
MER,五脉,103
VIS,五脏,104
SYN,虚实,105
SYM,羸败,106
BEC,夺阴者死,107
