Label,Entity Text,ID
LIT,医碥,1
DIS,何梦瑶,2
DIS,清,3
DIS,公元1751年,4
LIT,自序,5
LIT,岐黄家言,6
LIT,景岳全书,7
LIT,何梦瑶,8
LIT,乐只堂,9
LIT,赵序,10
LIT,何君西池,11
LIT,南海明珠,12
LIT,己酉,13
LIT,乾隆十六年岁次辛未季春望日,14
DIS,疠疫,15
SIG,饮者辄起,16
BDP,王洪,17
DIS,病风,18
SYM,狂易多力,19
SIG,焦烂无完肤,20
PRE,敷以药,21
SIG,数日愈,22
SIG,暴吐下,23
SIG,其病遽失,24
PRE,大承气,25
PRE,白虎,26
PRE,小柴胡,27
SIG,数十剂,28
CON,阳虚,29
CON,扶阳,30
MED,参,31
MED,附,32
BEC,火入于肺,33
BEC,火入于肾,34
BEC,宿食,35
BEC,正虚,36
BEC,邪胜,37
SYN,寒热,38
PRE,温补,39
DIS,起死回生,40
BEC,热伏于内,41
MED,桂、附,42
PRE,承气汤,43
MED,大黄,44
MED,朴,45
MED,硝,46
DIS,回阳,47
PRE,补泻,48
LIT,景岳书,51
LIT,河间,52
LIT,丹溪,53
LIT,西池,54
LIT,《证治准绳》,55
DIS,王金坛先生,56
DIS,何西池,57
LIT,《医碥》,58
LIT,《准绳》,59
LIT,仲景,62
LIT,东垣,64
LIT,刘、朱,65
LIT,梦瑶,67
BDP,粤西,68
BDP,辽左,69
LIT,《关格门》,70
LIT,《虫门》,71
DIS,取虫积,72
BEC,杂合之病,74
MED,杂合之药,75
BDP,喉,77
BDP,咽,78
VIS,肺,79
BDP,气息,80
SIG,呼吸,81
BEC,肺橐龠,82
BDP,胸,83
oname,华盖,84
BEC,蜂窠,85
BDP,鼻窍,86
BDP,鼻,87
VIS,心,88
BDP,系络,89
BDP,舌,90
BDP,腠理,91
LIT,《原病式》,92
BDP,玄腑,93
BDP,玄微腑,94
VIS,脏腑,95
BDP,皮毛,96
BDP,骨肉,97
BDP,筋膜,98
BEC,气,99
BDP,心窍,100
BDP,耳目,102
VIS,心包络,103
ACU,膻中,104
BDP,形,105
BEC,邪,107
VIS,包络,108
VIS,脾,109
VIS,胃,110
VIS,肝,111
VIS,胆,112
VIS,肾,113
VIS,膀胱,114
BDP,系,115
BDP,包络之旁,116
BDP,膈,118
BDP,膜,119
BDP,脊胁,120
BEC,浊气,121
VIS,心肺,122
BEC,肝气,124
BDP,目,125
BEC,肝开窍于目,126
BDP,肝叶,127
VIS,胆中,129
BDP,汁,130
BDP,饮食之路,140
FOO,水谷,141
BDP,会厌,142
BDP,喉窍,143
BDP,气道,144
SIG,发声,145
SIG,咽食,146
SYM,呛,147
BDP,膈膜,148
BDP,口,150
VIS,小肠,151
BDP,脊膂,152
BDP,脐,153
VIS,大肠,154
VIS,回肠,155
VIS,广肠,156
VIS,直肠,157
BDP,肛门,158
BDP,粪道,159
FOO,尿,161
FOO,饮食,162
BDP,血液,166
VIS,三焦,168
BEC,气化,169
BEC,清浊,170
BEC,糟粕,171
FOO,水饮,173
SIG,尿,175
BEC,三焦气化,176
SYM,闭塞不通,177
DIS,病,178
BDP,豆,186
BDP,脊,187
BEC,肾气,190
BDP,耳,191
BEC,肾开窍于耳,192
VIS,五脏,198
BDP,精气,199
CON,藏而不泻,200
VIS,大小肠,203
VIS,腑,205
BEC,胆所贮者汁,206
CON,泻而不藏,208
MED,精汁,210
FOO,水谷之滓秽,211
VIS,清净之腑,213
BEC,火,215
BEC,水,217
BEC,木,219
BEC,金,221
BEC,土,223
VIS,脏,239
PUL,乙,240
PUL,丁,241
PUL,己,242
PUL,癸,243
PUL,辛,244
VIS,乙木,246
VIS,丁火,248
VIS,己土,250
VIS,癸水,252
VIS,辛金,254
PUL,甲,256
PUL,丙,257
PUL,戊,258
PUL,庚,259
PUL,壬,260
VIS,甲木,262
VIS,丙火,264
VIS,戊土,266
VIS,庚金,268
VIS,壬水,270
VIS,五脏五腑,271
BEC,五行,272
PUL,十干,273
LIT,《难经》,277
BEC,无形,278
LIT,《内经》,279
BDP,十二官,280
BDP,膻中,281
VIS,心藏,283
BEC,包裹,284
BDP,上焦,286
BEC,如雾,287
BDP,膈以上,288
BDP,清阳之分,289
BEC,其气如雾,290
BDP,中焦,291
BEC,如沤,292
BDP,膈下脐上,293
BEC,水谷之区,294
BEC,停留如沤,295
BDP,下焦,296
BEC,如渎,297
BDP,脐以下,298
SIG,便溺所出,299
BEC,决渎,300
BDP,张景岳,301
BDP,腔子,302
BDP,囊,304
BDP,物,305
BDP,空际,306
BEC,三焦火气,307
BDP,游行之处,308
VIS,焦,312
BDP,椎,313
BDP,脊骨,314
BDP,上七椎,315
BDP,中七椎,316
BDP,下七椎,317
BDP,宫城,320
BDP,京城,321
BDP,内,322
BDP,外,323
CON,阴,324
CON,阳,325
MER,三焦,326
MER,经脉,327
MER,三焦之经脉,328
MER,某脏某腑经脉,329
MER,三焦经脉,330
BDP,九州,331
BDP,王土,332
