Label,Entity Text,ID
LIT,神农本草经,1
DIS,孙星衍,2
DIS,清,3
LIT,《记》,4
SIG,医不三世，不服其药,5
DIS,郑康成,6
BEC,慎物齐,7
DIS,孔冲远,8
LIT,《黄帝针灸},9
LIT,《神农本草},10
LIT,《素女脉诀},11
LIT,《周礼注},12
MED,五药,13
MED,草,14
MED,木,15
MED,虫,16
MED,石,17
FOO,谷,18
BEC,神农子仪之术,19
LIT,《礼记》,20
BEC,治合之齐,21
LIT,本草诸书,22
LIT,《汉书》,23
LIT,本草方术,24
LIT,《艺文志》,25
DIS,贾公彦,26
LIT,《中经簿》,27
LIT,《子仪本草经》,28
DIS,神农,29
LIT,《神农本草经》,30
LIT,《隋志》,31
LIT,雷公《本草集注》,32
LIT,《蔡邕本草》,33
LIT,《别录》,34
LIT,陆元朗《经典释文》,35
DIS,孙君伯渊,36
LIT,《大观本草》,37
LIT,《太平御览》,38
LIT,吴普本,39
MED,地黄,40
DIS,属骨,41
MED,甘草,42
MED,生肉之药,43
MED,大戟,44
SIG,去水,45
MED,葶苈,46
DIS,愈张,47
BEC,用之不节,48
DIS,反为病,49
SYM,风,50
SYM,热,51
MED,蜜丹,52
MED,人参,53
MED,支罗服,54
MED,麦门冬,55
MED,横麦,56
DIS,病,57
PRE,五禽之戏,58
LIT,《淮南王书》,59
LIT,《论衡》,60
LIT,《潜夫论》,61
LIT,《后汉书·华佗传》,62
LIT,神农,63
LIT,黄帝,64
LIT,岐伯,65
LIT,雷公,66
LIT,桐君,67
LIT,医和,68
LIT,扁鹊,69
LIT,《本草》,70
LIT,素问,71
LIT,灵枢,72
LIT,伤寒论,73
LIT,周易,74
DIS,太乙,76
BDP,五岳四渎,77
MED,土地所生万千类,78
DIS,商贾市贩,79
LIT,《崇文总目》,80
LIT,《食品》一卷,81
LIT,《五脏论》一卷,82
DIS,唐审元,85
LIT,《证类本草》,87
DIS,缪雍,88
LIT,《疏》,89
DIS,卢之颐,90
LIT,《乘雅半偈》,91
LIT,《本经》,92
DIS,孙渊如观察,93
DIS,从子凤卿,94
LIT,《神农本草经》三卷,95
LIT,《说文》,96
LIT,《尔雅》,97
LIT,《广雅》,98
LIT,《淮南子》,99
LIT,《抱朴子》,100
LIT,《汉书·平帝纪》,101
LIT,《楼护传》,102
LIT,《三皇纪》,103
LIT,陶隐居《录》,104
LIT,《唐本草》,105
LIT,《蜀本草》,106
MED,神农,107
LIT,《洪范》,108
LIT,《雅颂》,109
LIT,《嘉补注》,112
LIT,《开宝重定》,113
LIT,《名医别录》,114
LIT,梁 贞白先生陶弘景,115
LIT,宋,118
LIT,《神农黄帝食药》,122
LIT,《食禁》,123
LIT,贾公彦,124
LIT,《周礼》,125
LIT,医师疏,126
LIT,《神农本草》,129
LIT,《素问》,130
LIT,《博物志》,132
LIT,《春秋传注》,133
LIT,《三坟》,134
LIT,《史记》,135
LIT,《周易》,136
BDP,豫章,139
BDP,朱崖,140
BDP,赵国,141
BDP,常山,142
BDP,奉高,143
BDP,真定,144
BDP,临淄,145
BDP,冯翊,146
DIS,陶弘景,147
DIS,后汉,148
DIS,仲景,149
DIS,元化,150
DIS,薛综,151
LIT,《张衡赋》,152
LIT,《本草经》,153
MED,太一禹余粮,154
MED,石脑,155
LIT,《经》,157
LIT,大观本,158
DIS,吴普,159
DIS,李当之,160
LIT,《魏志·华佗传》,161
DIS,华佗,162
LIT,隋《经籍志》,163
LIT,《吴普本草》,164
DIS,梁,165
LIT,《嘉 本草》,166
LIT,普修《神农本草》,167
LIT,唐《经籍志》,169
LIT,广内,170
LIT,掌禹锡,171
LIT,《艺文类聚》,172
LIT,《初学记》,173
LIT,《后汉书注》,174
LIT,《事类赋》,175
