Label,Entity Text,ID
LIT,世医得效方,1
LIT,危亦林,2
LIT,天历元年,3
LIT,公元1328年-1337年,4
LIT,危氏世医得效方序,5
LIT,《世医得效方》,6
LIT,《圣济总录》,7
LIT,《肘后》,8
LIT,《千金》,9
LIT,《难经》,10
LIT,《汤液》,11
LIT,《灵枢》,12
LIT,《伤寒论》,13
BEC,先世授受,14
DIS,高祖云仙,15
DIS,大方脉,16
DIS,伯祖子美,17
DIS,妇人,18
DIS,正骨,19
DIS,金镞,20
DIS,大父碧崖,21
DIS,小方科,22
DIS,伯熙,23
DIS,眼科,24
DIS,疗瘵疾,25
DIS,疮肿,26
BDP,咽喉,27
BDP,口齿,28
BEC,诸积,29
PRE,古方,30
DIS,名医,31
DIS,危亦林,33
LIT,建宁路官医提领陈志序,36
LIT,太医院,38
DIS,至元三年,39
BDP,抚州,41
BDP,南丰,42
BDP,东京,44
DIS,董奉,45
DIS,二十五世孙,46
DIS,京名威辈,47
DIS,大方脉科,48
DIS,临江刘三点,50
DIS,建昌路新城县五路陈姓妇人科,51
DIS,杭州田马骑正骨金镞科,52
DIS,黎川大周氏小方科,54
DIS,福建汀州路程光明眼科,56
DIS,南城县周后游治瘵疾,57
DIS,瘵疾,58
DIS,本州斤竹江东山疮肿科,59
DIS,临川范叔清咽喉齿科,61
DIS,咽喉齿科,62
PRE,近代名医诸方,64
BDP,大方脉杂医科,66
BDP,小方脉科,67
DIS,风科,68
DIS,产科兼妇人杂病科,69
DIS,口齿兼咽喉科,71
DIS,正骨兼金镞科,72
DIS,疮肿科,73
ACU,针灸,74
LIT,孙真人养生书,75
VIS,本州医学,77
VIS,危亦林,78
VIS,太医院,79
PER,危亦林,80
LOC,南丰州,82
MED,南丰州官医副提领危亦林,83
BEC,血气顺,85
BDP,周流一身,86
PUL,脉息和,87
DIS,诸疾不作,88
BEC,气血逆,89
SYM,运动滞涩,90
PUL,脉息乱,91
DIS,百病生,92
SIG,脉之精微,93
LIT,王叔和,94
PUL,呼吸息数,95
PUL,病患之脉候,96
BDP,寸,97
BDP,关,98
BDP,尺,99
BDP,左三部,100
VIS,心,101
VIS,肝,102
VIS,肾,103
VIS,小肠,104
VIS,胆,105
VIS,膀胱,106
BDP,右三部,107
VIS,肺,108
VIS,脾,109
VIS,命,110
VIS,大肠,111
VIS,胃,112
VIS,三焦,113
PUL,浮按,114
PUL,中按,115
PUL,沉按,116
SIG,消息之,117
PUL,浮,120
VIS,六腑,121
SIG,盛衰,122
PUL,沉,123
VIS,五脏,124
SIG,死生盈虚,125
PUL,中,126
BEC,胃气,127
VIS,水谷之海,128
FOO,食,129
SIG,有胃气则生,130
SIG,无胃气则死,131
BDP,三部,132
PUL,九候,133
PUL,七表,134
PUL,八里,135
PUL,九道脉,136
BEC,风,137
BEC,寒,138
BEC,暑,139
BEC,湿,140
PUL,中伤之脉,141
BEC,七情,142
DIS,虚损,143
SYM,寒热,144
CON,阳,146
PUL,芤,148
PUL,滑,149
PUL,实,150
PUL,弦,151
PUL,紧,152
PUL,洪,153
PUL,微,161
PUL,缓,163
PUL,涩,164
PUL,迟,165
PUL,伏,166
PUL,濡,167
PUL,弱,168
PUL,长,169
PUL,短,170
PUL,虚,171
PUL,促,172
PUL,结,173
PUL,代,174
PUL,牢,175
PUL,动,176
PUL,细,177
CON,阴,179
PUL,浮沉迟数,180
DIS,伤寒,181
BEC,寒泣血,182
PUL,其脉紧,183
DIS,伤寒复见风,184
PUL,浮而缓,185
PUL,两感之脉,186
PUL,沉大者,187
SYN,太阳,188
SYN,少阴,189
PUL,沉长者,190
SYN,阳明,191
SYN,太阴,192
PUL,沉弦者,193
SYN,少阳,194
SYN,厥阴,195
SYN,阳病,196
PUL,沉涩弱弦微,197
SYM,死,198
SYN,阴病,199
PUL,浮大数动滑,200
SYM,生,201
DIS,阳毒,202
PUL,极浮洪,203
DIS,阴毒,204
PUL,附骨取之方有，按之即无,205
