ID,Label,Entity Text,是否修改
1,ACU,,1
2,ACU,ACU,1
3,ACU,KT,1
4,ACU,一两,1
5,ACU,一十八穴,1
6,ACU,一升水浸一宿沥干慢火炒熟,1
7,ACU,一合,1
8,ACU,一名铍针,1
9,ACU,一捻一放,1
10,ACU,一曰刺二寸,1
11,ACU,一曰刺八分,1
12,ACU,一枚炮去皮切八片,1
13,ACU,一百一十九穴,1
14,ACU,一穴,1
15,ACU,一窝风,1
16,ACU,一针,1
17,ACU,一针中穴,1
18,ACU,一钱,1
19,ACU,丁,1
20,ACU,丁亥时荥少府心,1
21,ACU,丁壬卯酉六顺知,1
22,ACU,丁壬寅卯八成数,1
23,ACU,丁巳包络大陵中,1
24,ACU,丁德用,1
25,ACU,丁日未时心少冲,1
26,ACU,七壮,1
27,ACU,七宿,1
28,ACU,七星,1
29,ACU,七枚,1
30,ACU,七椎下间,1
31,ACU,七针退,1
32,ACU,七针鬼床,1
33,ACU,三两,1
34,ACU,三交,1
35,ACU,三关,1
36,ACU,三关穴,1
37,ACU,三十六穴,1
38,ACU,三十穴,1
39,ACU,三壮,1
40,ACU,三寸六分,1
41,ACU,三枚麸炒,1
42,ACU,三棱针,1
43,ACU,三棱针出血,1
44,ACU,三椎下间,1
45,ACU,三焦下辅俞,1
46,ACU,三焦俞,1
47,ACU,三焦募,1
48,ACU,三焦原阳池,1
49,ACU,三百九十三穴,1
50,ACU,三百六十五穴之部位,1
51,ACU,三百六十五络,1
52,ACU,三穴,1
53,ACU,三脉之会,1
54,ACU,三里,1
55,ACU,三里穴,1
56,ACU,三针,1
57,ACU,三钱,1
58,ACU,三间,1
59,ACU,三阳,1
60,ACU,三阳五会,1
61,ACU,三阳交,1
62,ACU,三阳交穴,1
63,ACU,三阳经穴,1
64,ACU,三阳络,1
65,ACU,三阳络穴,1
66,ACU,三阴,1
67,ACU,三阴之交,1
68,ACU,三阴交,1
69,ACU,三阴交二穴,1
70,ACU,三阴交穴,1
71,ACU,三阴经穴,1
72,ACU,三飞一退,1
73,ACU,三飞法,1
74,ACU,上,1
75,ACU,上临泣,1
76,ACU,上关,1
77,ACU,上巨虚,1
78,ACU,上廉,1
79,ACU,上廉穴,1
80,ACU,上慈宫,1
81,ACU,上星,1
82,ACU,上气海,1
83,ACU,上管,1
84,ACU,上纪,1
85,ACU,上脘,1
86,ACU,上脘穴,1
87,ACU,上腕,1
88,ACU,上臂三阳络,1
89,ACU,上都,1
