Label,Entity Text,ID
DIS,伤寒,1
DIS,伏邪瘟疫,2
TNG,舌白,3
TNG,苔滑,4
TNG,黄,5
TNG,黑,6
TNG,刺,7
TNG,裂,8
TNG,黄黑诸苔,9
LIT,仲景书,10
LIT,金镜录,11
LIT,观舌心法,12
BEC,自表传里,13
BEC,邪气入里,14
BEC,阴盛格阳,15
BEC,邪热郁伏,16
SYM,难治,17
SYM,假证,18
PUL,假脉,19
TNG,白苔舌,21
TNG,白沫,22
TNG,白涎,23
TNG,白滑,24
TNG,白屑,25
TNG,白,26
BDP,舌中,27
BDP,舌尖,28
BDP,舌根,29
VIS,心,30
VIS,南方火,31
TNG,白色,32
BEC,火不能制金,33
BEC,寒郁皮肤,34
BEC,热气不得外泄,35
SYM,恶寒发热,36
MER,太阳经,37
SYM,头痛,38
SYM,身热,39
SYM,项背强,40
SYM,腰脊疼,41
MER,阳明经,42
TNG,白屑满舌,43
SYM,烦躁,44
PUL,脉浮紧,45
MER,少阳经,46
TNG,白苔白滑,47
PRE,小柴胡汤,48
CON,胃虚者,49
PRE,理中汤,50
TNG,白色少变黄,51
PRE,大柴胡,52
PRE,大小承气,53
TNG,白舌,54
TNG,微白滑苔舌,55
BEC,寒邪初入太阳,56
SYN,太阳,57
SYM,头疼,58
SYM,恶寒,60
TNG,舌色微白有津,61
PRE,香苏散,62
PRE,羌活汤,63
TNG,薄白滑苔舌,64
SYN,太阳里证,65
BEC,二三日未曾汗,66
BEC,邪入丹田渐深,67
SIG,急宜汗之,68
DIS,太阳与少阳合病,69
PRE,柴胡桂枝汤,70
TNG,浓白滑苔舌,71
BEC,病三四日,72
BEC,其邪只在太阳,73
TNG,苔纯白而浓,75
SYM,头疼发热,76
PUL,脉浮而紧,77
SIG,解表,78
TNG,干浓白苔舌,79
BEC,病四五日,80
BEC,未经发汗,81
BEC,邪热渐深,82
SYM,微渴,83
BEC,过饮生冷,84
BEC,停积胸中,85
BEC,营热胃冷,86
SYM,发热,87
SYM,四肢逆冷,89
TNG,苔白干浓,90
TNG,满口白屑,91
PRE,四逆散,92
MED,干姜,93
TNG,白苔黄心舌,94
DIS,阳明府病,96
TNG,微黄而润,97
TNG,苔燥,98
SYN,里证具,99
SIG,下之,100
SIG,呕吐,102
PRE,大柴胡汤,103
SIG,淡黄水沫,104
SIG,无稀粪者,105
PRE,大承气汤,106
TNG,白苔黄边舌,107
TNG,舌中见白苔,108
TNG,外有微黄,109
SIG,作泄,110
PRE,解毒汤,111
PRE,五苓散,113
TNG,干白苔黑心舌,114
SYN,阳明府,115
BEC,汗不彻,117
BEC,传至阳明,118
SYM,微汗出,119
SYM,不恶寒,120
PUL,脉沉,121
BEC,未曾汗,123
TNG,此舌,124
TNG,少阳舌,126
SIG,自利,127
PUL,脉长,128
PUL,弦数,129
BEC,宿食,130
PRE,大承气,131
TNG,白苔满黑刺干舌,132
SYN,少阳之里证,133
SYM,不恶寒反恶热,134
MED,芒硝,136
TNG,白滑苔黑心舌,137
TNG,白苔中黑,138
BEC,表那入里,139
SYM,大热谵语,140
PRE,承气,141
BEC,食复,142
SIG,利不止,144
TNG,半边白滑舌,145
TNG,白苔见于一边,146
SYN,半表半里,147
MED,葛根,149
MED,茯苓,150
SYM,咳嗽引胁下痛,151
PRE,小青龙汤,152
SIG,夏月多汗自利,153
PRE,人参白虎汤,154
DIS,脏结,155
TNG,白滑舌,156
TNG,半边白苔,157
TNG,老黄,159
BEC,寒邪结在脏,160
PRE,黄连汤,161
MED,附子,162
BEC,结在咽,163
SYM,不能语言,164
PRE,生脉散,165
PRE,四逆汤,166
TNG,白苔黑斑舌,167
TNG,白苔,168
TNG,黑小斑点,169
BEC,水来克火,170
PRE,凉膈散,171
PRE,承气汤,172
TNG,白苔燥裂舌,173
BDP,胸中,175
BEC,寒,176
BDP,丹田,177
BEC,热,178
TNG,舌上白苔,179
BEC,过汗,180
BEC,伤营,181
TNG,舌上无津,182
TNG,燥裂,183
BEC,内无实热,184
PRE,小柴胡,185
TNG,白苔黑根舌,187
TNG,舌苔白,188
TNG,根黑,189
BEC,火被水克,190
TNG,白尖黄根舌,191
BEC,邪,192
BEC,入里,193
SYN,下后无他证,196
SYM,安卧神清,197
SYN,变证,198
TNG,白苔双黄舌,199
SYN,阳明里证,200
VIS,土,202
BEC,邪热上攻,203
TNG,舌有双黄,204
SYM,恶热,206
SIG,转矢气,207
PRE,调胃承气,210
TNG,白苔双黑舌,211
TNG,黑色两条,213
BEC,太阳少阳之邪,214
VIS,胃,215
BEC,土气衰绝,216
SYM,手足厥冷,217
SYM,胸中结痛,218
PRE,泻心汤,220
BEC,邪结在舌根,221
BDP,咽嗌,222
SIG,不能言,223
SYN,死证,224
TNG,白苔双灰色舌,225
BEC,夹冷食,226
SIG,津,227
PRE,理中,228
PRE,四逆,229
TNG,干浓,230
SYN,里证,231
PRE,得汤,232
TNG,灰色去,233
TNG,白尖中红黑根舌,234
TNG,舌尖白而根灰黑,235
BEC,少阳邪热传腑,236
BEC,热极而伤冷冻饮料也,237
SYM,渴,238
BEC,水停津液固结,239
SIG,自汗,241
PRE,白虎汤,243
SIG,下利,244
TNG,黑根多、白尖少、中不甚红,247
DIS,难治,248
TNG,白苔尖红舌,249
TNG,满舌白滑,250
TNG,尖却鲜红,251
BEC,热邪内盛,252
BEC,客寒,253
PRE,小柴胡汤加减,255
TNG,白苔中红舌,256
SYN,太阳初传经,257
SIG,无汗,258
SIG,有汗,259
DIS,解肌,260
SYN,少阳经者,261
TNG,白苔变黄舌,263
SYN,少阳证罢,264
TNG,苔变黄色,266
SIG,兼矢气者,267
TNG,白尖红根舌,269
TNG,舌尖苔白,270
BEC,邪在半表半里,271
SYM,寒热,272
SYM,耳聋,273
SYM,口苦,274
SYM,胁痛,275
PUL,脉弦,276
TNG,白苔尖灰根黄舌,278
BEC,太阳湿热并于阳明,279
TNG,根黄色润,280
SIG,目黄,281
SIG,小便黄,282
PRE,茵陈蒿汤,283
