Label,Entity Text,ID
LIT,儿科萃精,1
CON,陈守真,2
CON,民国,3
CON,公元1930年,4
LIT,李序,5
CON,扁鹊,6
CON,秦缓,7
CON,黄岐,8
CON,仲景,9
DIS,闽侯陈君守真,10
LIT,《儿科萃精》,11
LIT,《天元玉册》,12
LIT,《本草》,13
LIT,《灵枢素问》,14
LIT,灵枢,15
LIT,素问,16
SYM,婴儿肌肤薄,17
BEC,营卫疏,18
SYM,触感则万端传变,19
VIS,脏腑柔,20
BDP,骨筋脆,21
SYM,遇伤则全体动摇,22
BEC,六淫,23
BEC,胎毒,24
FOO,饮食,25
SYM,过饱,26
SYM,过暖,27
BEC,饱暖太过,28
BEC,致病之媒,29
CON,纯阳,30
MED,苦寒,31
VIS,湿土,32
SYM,湿重者肥,33
SYM,湿轻者瘦,34
BEC,火入于肺,35
BEC,火入于肾,36
BEC,宿食,37
BEC,壮火,38
BEC,少火,39
BEC,泻火,40
VIS,胃汁,41
DIS,痉厥,42
BEC,感本外标,43
MED,羌,44
MED,防,45
MED,柴,46
MED,葛,47
MED,麻黄,48
MED,细辛,49
BDP,腠理,50
BEC,邪,51
MED,蝎,52
MED,蚣,53
MED,脑,54
MED,麝,55
MED,芫花,56
MED,大戟,57
BDP,小儿,58
LIT,李士材,59
PRE,古方,60
DIS,今病,61
MED,药,62
DIS,病,63
VIS,气,65
DIS,未药之病,67
DIS,误药之病,68
LIT,守真,69
LIT,儿科,70
PRE,萃精,71
CON,稚阳,73
CON,稚阴,74
SYN,证,75
SYN,表里,76
SYN,阴阳,77
SYN,虚实,78
SYN,寒热,79
PRE,方,80
PRE,君臣佐使,81
MED,性味功能,82
SYM,呆,83
SIG,滞,84
SYM,重,85
SIG,伤,86
BEC,不对证,87
SYM,莫知其乡,88
BDP,父母,89
BDP,儿子,90
SYM,注目先机防汛,91
SYM,筑堤之固,92
SYM,罗胸定算,93
SYM,临渴无忧掘井之艰,94
SYM,天下之儿皆寿,95
SYM,寿世寿民,97
SYM,一瓣心香,98
DIS,小儿病证共分三十六门,99
BEC,护胎,100
BEC,脏腑生成,101
SYM,寿夭之征,102
SYM,变蒸之日,103
BEC,儿之初生调护得宜,104
VIS,肺,105
VIS,肾,106
DIS,小儿感冒风寒,107
BEC,夹食,108
BEC,夹热,109
BEC,夹惊,110
BEC,六淫之气,111
BEC,风寒暑湿燥火,112
DIS,时疫,113
DIS,瘟,114
DIS,痧,115
DIS,疹,116
DIS,风温,117
DIS,暑温,118
DIS,秋疫,119
DIS,冬温,120
DIS,惊风,121
VIS,五脏,122
BDP,面部,123
SIG,指纹,124
PUL,周岁脉,125
SYM,病状,126
DIS,天钓,127
DIS,内钓,128
DIS,惊,129
DIS,慢脾风,130
DIS,小儿痫证,132
DIS,痫,134
DIS,惊痫,135
BEC,阴阳风痰食,136
VIS,心,137
VIS,肝,138
VIS,脾,139
DIS,五脏诸痫,142
DIS,小儿种痘,143
DIS,出痘,144
DIS,小儿麻疹,145
DIS,痘疹,146
DIS,正疹,147
DIS,瘙疹,148
DIS,瘾疹,149
DIS,小儿霍乱,150
SIG,吐,151
SIG,泻,152
BEC,干,153
BEC,湿,154
