Label,Entity Text,ID
LIT,类证治裁,1
DIS,林佩琴,2
DIS,清,3
DIS,公元1644-1911年,4
LIT,序,5
DIS,医之为道,6
BEC,阴阳,7
DIS,性命,8
DIS,寒暑,9
DIS,南北,10
BDP,丹阳,11
DIS,林云和,12
DIS,戊辰,13
BDP,京师,14
DIS,丁未冬,15
DIS,芝本,16
PRE,类证治裁,17
DIS,己巳,18
DIS,礼闱,19
LIT,《四库全书》,20
LIT,文渊阁,21
LIT,旧史医家,22
LIT,子部,24
LIT,儒家,25
LIT,兵家,26
LIT,法家,27
LIT,农家,28
LIT,医家,29
LIT,阴阳术数,30
LIT,六壬声律,31
LIT,叶氏《临证指南》,32
LIT,《灵枢》,33
LIT,《素问》,34
LIT,《难经》,35
LIT,《沈氏尊生》书,36
LIT,《难经本义》,37
DIS,林羲桐,38
SYN,丙戌,39
SYN,辛亥,40
LIT,先生所着《类证治裁》书,41
LIT,方书,42
LIT,《治裁》,43
LIT,仲景,44
PRE,汤液,45
MED,针石,46
LIT,玉版真言,47
LIT,灵兰秘典,48
LIT,《灵》,49
LIT,《素》,50
LIT,咸丰元年,51
LIT,同治,52
LIT,重锓类证治裁序,53
LIT,素问,54
LIT,灵枢,55
LIT,伤寒论,56
LIT,内经,59
LIT,难经,60
MED,张仲景,61
LIT,咸丰丙辰,62
LIT,《类证治裁》,63
DIS,司命之难,64
SYN,识证,65
SYN,辨证,66
BEC,阴,67
BEC,阳,68
CON,虚,69
CON,实,70
BEC,六淫,71
BEC,七情,72
MER,经,73
MER,络,74
VIS,腑,75
VIS,脏,76
BDP,营卫,77
BDP,筋骨,78
PUL,脉理,79
LIT,《内经》,80
DIS,长沙,84
LIT,《伤寒》,85
MER,六经,86
DIS,河间,87
DIS,温热,88
VIS,三焦,89
DIS,东垣,90
PRE,益气补中,91
DIS,丹溪,92
PRE,滋阴降火,93
CON,禀之浓薄,94
BEC,岁气,95
DIS,沉,96
DIS,温疫,97
PRE,伤寒法,98
DIS,血枯,99
PRE,通瘀法,100
BEC,留邪,101
BEC,扶正,102
DIS,林琴,104
DIS,府君讳琴，字云和，号羲桐,105
DIS,翠岩公,106
BDP,武都,107
BDP,秦关,108
BDP,汉塞,109
SYM,春水,110
SYM,白云,111
BEC,感寒,113
SIG,呕哕,114
DIS,病膈噎,115
