Label,Entity Text,ID
LIT,医方集解,1
LIT,汪昂,2
LIT,清,3
LIT,公元1682年,4
LIT,自序,5
LIT,仲景,6
DIS,太阳痉,7
DIS,阳明烦躁,8
DIS,少阳潮热,9
SYM,汗多,10
SYM,热利,11
SYM,烦躁,12
SYM,潮热,13
SYM,腹痛,14
SYN,太阳证,15
SYN,阳明证,16
SYN,少阳证,17
SIG,便秘,18
SIG,便利,19
SIG,呕吐,20
BEC,火入于肺,21
BEC,火入于肾,22
BEC,宿食,23
PRE,栀子豆豉汤,24
PRE,大承气汤,25
PRE,羌活汤,26
MED,栀子,27
MED,豆豉,28
MED,大黄,29
MED,石膏,30
MED,滑石,31
ACU,足三里,32
ACU,合谷,33
ACU,百会,34
MER,足太阳膀胱经,35
MER,足阳明胃经,36
VIS,肺,37
VIS,肾,38
VIS,心,39
VIS,肝,40
VIS,脾,41
PUL,浮脉,42
PUL,沉脉,43
PUL,数脉,44
BDP,头,45
BDP,胸,46
BDP,腹,47
BDP,四肢,48
TNG,舌红,49
TNG,苔白,50
TNG,苔黄,51
CON,阳虚,52
CON,阴虚,53
CON,气虚,54
FOO,大米,55
FOO,小米,56
FOO,羊肉,57
LIT,素问,58
LIT,灵枢,59
LIT,伤寒论,60
LIT,《医方考》,62
LIT,仲景《伤寒论》,64
DIS,陶节庵,65
LIT,伤寒六书,66
PRE,仲景伤寒诸方,67
LIT,《药性》,68
LIT,《回春》,69
BEC,上病下取,70
BEC,下病上取,71
BEC,阴病治阳,72
BEC,阳病治阴,73
BEC,隔二,74
BEC,隔三之治,75
LIT,《纲目》,76
LIT,《准绳》,77
BEC,补养,78
SIG,汗,79
SIG,吐,80
SIG,下,81
BEC,发表,82
SIG,涌吐,83
BEC,攻里,84
SYN,表证未除,85
SYN,里证复急,86
BEC,表里交治,87
BEC,百病皆由痰起,88
BEC,除痰,89
BEC,饮食不节,90
DIS,积滞,91
BEC,消导,92
BEC,滑则气脱,93
BEC,收涩,94
PRE,救急良方,95
LIT,勿药无诠,96
LIT,方解,97
LIT,医学之全书,98
LIT,岐,99
SIG,食前,100
SIG,食后,101
MER,手太阴肺,102
MER,手少阴心,103
MER,手厥阴心包,104
MER,手太阳小肠,105
