Label,Entity Text,ID
DIS,温病,1
SYM,喉痹,2
PRE,冰硼散,3
PRE,双解散,4
PRE,人参败毒散,5
SIG,发黄,6
LIT,张长沙,7
LIT,外逐荣势，内忘身命,8
LIT,温病条辨,9
author,吴鞠通,10
LIT,《玉函经》,11
LIT,《卒病论》,12
BEC,兵火,13
LIT,《四库全书》,14
MED,吴又可,15
LIT,《温疫论》,16
DIS,温疫,17
DIS,坏病,18
LIT,《温病条辨》,20
LIT,《六元正纪大论》,21
BEC,辰戌之岁,22
BEC,初之气,23
DIS,民厉温病,24
DIS,温厉,26
DIS,温病乃起,27
DIS,温厉大行,28
DIS,其病温,29
DIS,其病温厉,30
BEC,喜怒不节,31
BEC,寒暑过度,32
BEC,冬伤于寒,33
DIS,春必病温,34
LIT,素问,35
DIS,伤寒,37
LIT,庞安常,38
LIT,卒病论,39
LIT,朱肱,40
LIT,活人书,41
LIT,韩HT 和,42
LIT,微旨,43
LIT,王氏,44
LIT,证治,45
LIT,刘守真,46
LIT,伤寒医鉴,47
LIT,伤寒直格,48
LIT,张子和,49
LIT,伤寒心镜,50
PRE,防风通圣,51
PRE,双解通圣,52
PRE,九味羌活,53
PRE,麻桂,54
MED,辛温药,55
MED,苦寒,56
LIT,王安道,57
LIT,溯洄集,58
LIT,张景岳,59
LIT,吴又可,60
LIT,喻嘉言,61
BEC,重阴必阳,66
BEC,重阳必阴,67
SYN,少阴,68
SYN,厥阴,69
PRE,辛温发表,70
PRE,辛热温里,71
BEC,伏气为病,73
DIS,春温,74
DIS,冬咳,75
DIS,温疟,76
BEC,司天时令现行之气,78
BEC,非其时而有其气,79
BEC,戾气,80
LIT,《内经》,81
LIT,《六元正纪》,82
LIT,《金匮真言论》,83
SIG,藏于精者，春不病温,84
VIS,精,85
DIS,春病温,87
BEC,藏精,88
LIT,上古天真论,90
LIT,四气调神大论,91
BEC,五脏元真通畅,92
LIT,金匮,93
BEC,不藏精,95
LIT,《伤寒论》,96
DIS,凡病伤寒而成温者,97
DIS,先夏至日者为病温,98
DIS,后夏至日者为病暑,99
SYM,暑当与汗出,100
SIG,勿止,101
DIS,温,102
BEC,春气温,103
BEC,阳气发越,104
BEC,阴精不足以承之,105
BEC,热盛则湿动,106
BEC,热与湿搏而为暑,107
SIG,勿止暑之汗,108
BEC,治暑之法,109
SYM,气盛身寒,110
SYM,气虚身热,112
DIS,伤暑,113
LIT,《热论篇》,114
LIT,《刺志论》,115
DIS,暑,117
DIS,温暑,118
SYM,汗,119
SYM,烦,120
SYM,喘喝,121
SYM,多言,122
BEC,火,123
SYM,心气不宁,124
BEC,火克金,125
BDP,胸中清廓之气,126
VIS,心,127
SIG,尺肤热甚,128
PUL,脉盛躁,129
DIS,病温,130
PUL,脉盛而滑,131
DIS,病且出,132
PRE,足三阴经温法,135
MED,张景岳,136
LIT,《类经》,137
SIG,尺肤热,138
BEC,火烁精,139
BEC,精被火煎沸,141
LIT,《生气通天论》,142
LIT,《论疾诊尺篇》,143
BEC,邪机向外,145
DIS,热病,146
SIG,气口静,147
SIG,人迎躁,148
ACU,诸阳五十九刺,149
SYM,泻其热,150
SYM,出其汗,151
SYM,实其阴,152
SYM,补其不足,153
SYM,身热甚,154
SIG,阴阳皆静,155
SIG,勿刺,156
SIG,死征,157
PUL,动喘而弦,158
SIG,急刺,159
SYM,汗且自出,160
ACU,浅刺手大指间,161
PUL,脉微小,162
SYM,溲血,163
SYM,口中干,164
PUL,脉代,165
SYM,得汗,166
PUL,脉尚躁,167
SYM,喘,168
SYM,复热,169
SIG,勿腠刺之,170
PUL,脉不躁,171
PUL,躁不散数,172
SYM,有汗,173
SYM,不知所痛,174
SYM,耳聋,175
SYM,不能自收,176
SYM,口干,177
SYM,阳热甚,178
SYM,阴颇有寒,179
BEC,热在骨髓,180
SIG,死不可治,181
PUL,脉尚躁盛,182
PUL,阴脉之极,183
PUL,脉静,184
LIT,《热病篇》,185
SYM,不得汗,188
BEC,阳脉之极,189
SYM,死,190
SYM,汗不出,193
SIG,大颧发赤,194
SYM,哕,195
SYM,泄而腹满甚,196
SYM,目不明,197
SYM,热不已,198
CON,老人婴儿,199
SYM,热而腹满,200
SYM,汗大出,201
SIG,呕,202
SYM,下血,203
TNG,舌本烂,204
SYM,咳而衄,205
SYM,出不至足,207
BEC,髓热,208
DIS,热而痉,209
SYM,腰折,210
SYM,螈,211
SYM,齿噤,212
SIG,不可刺,213
SIG,腹满,214
CON,正气,216
MER,太阳之脉,217
BDP,颧骨,218
MER,厥阴脉,220
MER,少阳之脉,221
BDP,颊前,222
MER,少阴脉,224
ACU,刺,225
PRE,汤药,226
BEC,热邪,227
BEC,闭结,228
BEC,益阴,229
BEC,留阳,230
PUL,气口静,231
PUL,人迎躁,232
BEC,邪机,233
VIS,上焦,234
SYN,诸阳,235
BEC,阳邪,236
BEC,阳气,237
SIG,汗,238
BEC,实其阴,239
BEC,补其不足,240
BEC,阳盛,241
BEC,阴衰,242
BEC,泻阳,243
BEC,阴得安其位,244
BEC,耗阴,245
BEC,阳脱,246
PUL,脉之阴阳皆静,249
BEC,阳证阴脉,250
SYM,动喘而弦,251
PUL,弦,253
BEC,肺气实,254
BEC,风火鼓荡,255
BDP,手大指间,256
BEC,泄肺气,257
BEC,肺之热痹,258
SIG,汗出,259
BDP,大指间,260
ACU,少商穴,261
SYN,热证,262
SYM,七、八日,263
BEC,邪气深入下焦血分,265
BEC,逼血从小便出,266
SIG,溲血,267
BEC,肾精告竭,268
BEC,阴液不得上潮,269
PUL,脉至微小,271
BEC,阴精竭,272
BEC,阳气亦从而竭矣,273
SYM,死象,274
PUL,脉实,275
SIG,得汗,276
BEC,热不为汗衰,279
BEC,火热克金,280
BEC,金受火克,282
BEC,肺之化源欲绝,283
BEC,正衰不与邪争,286
BEC,阴伤精欲脱,288
BEC,真气惫,290
SYM,热甚,292
BEC,阳邪独盛,293
VIS,肺,294
VIS,肾,297
VIS,金,298
CON,阴虚,300
SYN,下焦阴分颇有虚寒之证,301
CON,阴精亏损,302
BEC,真气败散,303
BEC,邪热不退,304
SYM,热在骨髓,305
CON,阴衰阳盛,306
BEC,真气未至溃败,307
CON,阴虚之极,309
SIG,不得汗,310
CON,阳盛之极,311
CON,阳盛,312
SYM,颧赤,313
BEC,邪盛,314
SIG,哕,315
DIS,脾阴病,316
